Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;9,399,413.00;9,412,996.00;13,583.00;5,476,711.00
Feb 1, 2015;Mar 1, 2015;8,820,248.25;8,829,706.75;9,458.50;6,475,853.75
Mar 1, 2015;Apr 1, 2015;8,974,048.50;8,981,969.75;7,921.25;5,686,050.50
Apr 1, 2015;May 1, 2015;8,257,524.00;8,269,945.00;12,421.00;5,195,529.00
May 1, 2015;Jun 1, 2015;8,040,229.75;8,052,475.75;12,246.00;5,209,444.25
Jun 1, 2015;Jul 1, 2015;8,136,525.25;8,148,962.25;12,437.00;5,664,976.75
Jul 1, 2015;Aug 1, 2015;8,307,233.25;8,329,128.50;21,895.25;5,035,399.75
Aug 1, 2015;Sep 1, 2015;8,237,273.25;8,272,085.75;34,812.50;5,798,764.75
Sep 1, 2015;Oct 1, 2015;8,195,754.00;8,210,938.50;15,184.50;5,545,654.00
Oct 1, 2015;Nov 1, 2015;8,598,446.25;8,622,290.25;23,844.00;6,825,562.25
Nov 1, 2015;Dec 1, 2015;8,766,948.50;8,783,684.25;16,735.75;4,943,800.25
Dec 1, 2015;Jan 1, 2016;8,627,548.50;8,660,505.50;32,957.00;4,218,076.50
Jan 1, 2016;Feb 1, 2016;9,416,366.25;9,767,953.00;351,586.75;6,247,198.50
Feb 1, 2016;Mar 1, 2016;8,704,786.00;8,951,327.25;246,541.25;4,927,416.25
Mar 1, 2016;Apr 1, 2016;9,011,476.25;9,217,164.25;205,688.00;6,598,023.25
Apr 1, 2016;May 1, 2016;8,353,406.00;8,554,429.25;201,023.25;5,403,875.00
May 1, 2016;Jun 1, 2016;8,651,079.75;8,852,220.75;201,141.00;5,288,590.00
Jun 1, 2016;Jul 1, 2016;8,108,108.50;8,275,050.00;166,941.50;5,772,947.50
Jul 1, 2016;Aug 1, 2016;8,286,790.50;8,482,600.00;195,809.50;5,486,769.00
Aug 1, 2016;Sep 1, 2016;8,264,346.75;8,476,287.25;211,940.50;5,640,501.00
Sep 1, 2016;Oct 1, 2016;8,226,664.00;8,458,968.50;232,304.50;5,879,760.50
Oct 1, 2016;Nov 1, 2016;8,639,234.25;8,958,814.50;319,580.25;6,502,204.25
Nov 1, 2016;Dec 1, 2016;9,090,139.25;9,404,735.75;314,596.50;6,238,100.25
Dec 1, 2016;Jan 1, 2017;9,185,247.25;9,551,214.50;365,967.25;5,602,492.50
Jan 1, 2017;Feb 1, 2017;9,652,661.50;9,675,040.25;22,378.75;6,897,689.25
Feb 1, 2017;Mar 1, 2017;8,595,759.50;8,610,343.25;14,583.75;5,479,802.50
Mar 1, 2017;Apr 1, 2017;8,989,942.00;9,000,765.75;10,823.75;5,488,281.75
Apr 1, 2017;May 1, 2017;8,199,071.75;8,206,608.00;7,536.25;4,383,525.75
May 1, 2017;Jun 1, 2017;8,367,714.25;8,374,430.00;6,715.75;5,308,317.00
Jun 1, 2017;Jul 1, 2017;7,960,445.00;7,969,188.00;8,743.00;4,306,545.75
Jul 1, 2017;Aug 1, 2017;7,970,261.75;7,974,786.75;4,525.00;5,069,230.50
Aug 1, 2017;Sep 1, 2017;8,216,609.50;8,222,566.75;5,957.25;5,311,316.75
Sep 1, 2017;Oct 1, 2017;8,240,281.00;8,243,962.25;3,681.25;5,321,983.00
Oct 1, 2017;Nov 1, 2017;8,658,117.75;8,669,404.00;11,286.25;4,190,566.50
Nov 1, 2017;Dec 1, 2017;9,004,059.50;9,016,063.75;12,004.25;5,491,979.00
Dec 1, 2017;Jan 1, 2018;9,117,227.50;9,510,803.50;393,576.00;4,109,297.00
Jan 1, 2018;Feb 1, 2018;9,864,697.50;10,292,142.25;427,444.75;5,163,528.00
Feb 1, 2018;Mar 1, 2018;8,999,975.00;9,333,776.25;333,801.25;6,614,498.75
Mar 1, 2018;Apr 1, 2018;9,855,978.00;10,201,953.25;345,975.25;5,827,227.00
Apr 1, 2018;May 1, 2018;8,488,555.50;8,887,341.25;398,785.75;4,383,532.50
May 1, 2018;Jun 1, 2018;8,524,668.25;8,906,876.25;382,208.00;4,591,007.75
Jun 1, 2018;Jul 1, 2018;8,499,840.00;8,766,365.50;266,525.50;5,215,769.75
Jul 1, 2018;Aug 1, 2018;8,515,273.00;8,741,995.50;226,722.50;5,363,377.50
Aug 1, 2018;Sep 1, 2018;8,704,427.25;9,025,790.50;321,363.25;5,358,241.25
Sep 1, 2018;Oct 1, 2018;8,538,944.00;8,945,720.50;406,776.50;5,117,202.75
Oct 1, 2018;Nov 1, 2018;9,060,401.75;9,485,126.75;424,725.00;4,738,472.50
Nov 1, 2018;Dec 1, 2018;8,999,445.25;9,366,876.75;367,431.50;5,939,689.75
Dec 1, 2018;Jan 1, 2019;8,914,044.75;9,310,203.25;396,158.50;4,046,381.50
