Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2019;Feb 1, 2019;9,276,456.00;9,670,163.50;393,707.50;4,035,012.00
Feb 1, 2019;Mar 1, 2019;8,190,958.50;8,517,353.00;326,394.50;3,891,956.25
Mar 1, 2019;Apr 1, 2019;8,407,992.00;8,779,514.75;371,522.75;2,349,926.25
Apr 1, 2019;May 1, 2019;7,613,167.25;7,930,497.50;317,330.25;3,290,464.50
May 1, 2019;Jun 1, 2019;7,860,322.00;8,143,028.00;282,706.00;3,934,521.00
Jun 1, 2019;Jul 1, 2019;7,383,888.75;7,686,518.75;302,630.00;3,593,002.75
Jul 1, 2019;Aug 1, 2019;8,332,898.75;8,595,717.25;262,818.50;4,747,091.75
Aug 1, 2019;Sep 1, 2019;8,263,764.75;8,563,078.25;299,313.50;5,223,331.25
Sep 1, 2019;Oct 1, 2019;8,461,407.00;8,818,239.75;356,832.75;4,473,007.25
Oct 1, 2019;Nov 1, 2019;8,915,341.00;9,325,072.50;409,731.50;4,828,482.00
Nov 1, 2019;Dec 1, 2019;9,017,412.75;9,351,031.25;333,618.50;5,705,261.75
Dec 1, 2019;Jan 1, 2020;8,890,933.25;9,299,481.25;408,548.00;4,130,702.25
Jan 1, 2020;Feb 1, 2020;9,492,987.75;9,912,464.50;419,476.75;4,193,448.25
Feb 1, 2020;Mar 1, 2020;9,230,246.75;9,691,195.75;460,949.00;2,306,764.50
Mar 1, 2020;Apr 1, 2020;9,087,607.25;9,594,913.00;507,305.75;3,960,852.50
Apr 1, 2020;May 1, 2020;7,804,261.00;8,377,706.00;573,445.00;3,305,868.25
May 1, 2020;Jun 1, 2020;7,946,045.50;8,444,755.75;498,710.25;3,792,615.25
Jun 1, 2020;Jul 1, 2020;7,850,464.75;8,218,399.00;367,934.25;4,322,539.50
Jul 1, 2020;Aug 1, 2020;8,100,862.50;8,470,957.00;370,094.50;4,238,090.25
Aug 1, 2020;Sep 1, 2020;8,097,919.00;8,483,092.75;385,173.75;4,784,204.00
Sep 1, 2020;Oct 1, 2020;8,227,078.75;8,587,239.50;360,160.75;5,174,604.50
Oct 1, 2020;Nov 1, 2020;9,072,497.25;9,443,256.75;370,759.50;4,552,790.75
Nov 1, 2020;Dec 1, 2020;9,033,468.75;9,450,424.00;416,955.25;5,382,629.00
Dec 1, 2020;Jan 1, 2021;9,197,008.00;9,618,332.00;421,324.00;5,430,751.00
Jan 1, 2021;Feb 1, 2021;9,897,784.50;10,263,057.75;377,549.75;6,411,019.50
Feb 1, 2021;Mar 1, 2021;9,130,374.50;9,413,712.50;283,338.00;5,611,029.75
Mar 1, 2021;Apr 1, 2021;9,559,570.50;9,906,840.00;347,269.50;4,968,496.25
