date,load_mwh_50hertz,load_mwh_amprion,load_mwh_tennet,load_mwh_transnetbw
2023-06-01,7555377.5,12725109.0,10836653.75,4358136.25
2023-07-01,7670768.5,12801658.0,11168915.5,4612286.5
2023-08-01,7741443.5,12975604.0,11179227.25,4411129.0
2023-09-01,7710141.25,12813680.5,10907002.0,4381938.75
2023-10-01,8337207.5,13842487.0,11881917.5,4733412.75
2023-11-01,8923991.5,14544375.75,12493947.0,5128559.5
2023-12-01,9218552.0,14223600.75,12566694.0,4990375.0
2024-01-01,9664613.75,15796541.75,13188853.75,5445645.5
2024-02-01,8736005.25,14384171.5,11962649.75,4874208.25
2024-03-01,8684953.75,14531069.75,12092671.75,4884035.5
2024-04-01,8017363.0,13673711.75,11392236.5,4647772.5
2024-05-01,7766158.25,12967877.5,10922213.0,4327310.0
2024-06-01,7695570.25,12834894.25,10770662.0,4403617.0
2024-07-01,7966739.0,13190788.0,11146466.5,4669835.25
2024-08-01,8043038.75,13468325.5,11110742.75,4299833.75
2024-09-01,8118546.0,13079869.2,10969476.75,4478362.5
2024-10-01,8677063.75,13137848.75,11896451.0,4826128.5
2024-11-01,9071760.5,14742242.0,12478939.0,5083707.5
2024-12-01,9189924.75,14603686.75,12552167.0,5037514.5
2025-01-01,9671554.25,15866702.75,13238286.0,5394283.0
2025-02-01,8597353.95,14494225.75,11990388.25,4985372.5
2025-03-01,8840869.08,14707710.0,12025561.51,4989462.75
2025-04-01,7837562.34,13363423.0,10747434.42,4393317.5
2025-05-01,7974338.42,13258012.25,10678973.24,4353411.75
2025-06-01,7862757.91,12721772.5,10507494.23,4186316.15
2025-07-01,7963016.34,13391444.0,11124645.35,4556678.56
2025-08-01,7665941.25,13044362.0,10565086.75,4095864.2
2025-09-01,7980707.57,13182953.25,10857849.99,4450241.78
2025-10-01,8873290.25,14546751.71,12016965.39,4890158.69
2025-11-01,9071975.68,14968861.56,12404907.74,5378658.68
2025-12-01,9058583.05,15276499.59,12141095.43,5294566.48
