Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Mar 1, 2024;Apr 1, 2024;12,092,671.75;12,288,619.00;195,947.25;3,639,709.50
Apr 1, 2024;May 1, 2024;11,392,236.50;11,600,000.00;207,763.50;2,980,828.00
May 1, 2024;Jun 1, 2024;10,922,213.00;11,161,638.50;239,425.50;3,743,771.75
Jun 1, 2024;Jul 1, 2024;10,770,662.00;10,999,401.00;228,739.00;3,685,776.00
Jul 1, 2024;Aug 1, 2024;11,146,466.50;11,391,243.00;244,776.50;3,695,637.25
Aug 1, 2024;Sep 1, 2024;11,110,742.75;11,356,115.25;245,372.50;4,220,605.75
Sep 1, 2024;Oct 1, 2024;10,969,476.75;11,168,530.00;199,053.25;3,679,923.00
Oct 1, 2024;Nov 1, 2024;11,896,451.00;12,091,640.25;195,189.25;5,081,521.75
Nov 1, 2024;Dec 1, 2024;12,478,939.00;12,649,741.25;170,802.25;5,865,505.50
Dec 1, 2024;Jan 1, 2025;12,552,167.00;12,711,849.75;159,682.75;4,282,734.50
Jan 1, 2025;Feb 1, 2025;13,238,286.00;13,378,206.50;139,920.50;5,150,593.25
Feb 1, 2025;Mar 1, 2025;11,990,388.25;12,121,826.25;131,438.00;5,579,026.75
Mar 1, 2025;Apr 1, 2025;12,025,561.51;12,184,218.26;158,656.75;4,975,517.01
Apr 1, 2025;May 1, 2025;10,747,434.42;10,908,051.17;160,616.75;4,139,368.92
May 1, 2025;Jun 1, 2025;10,678,973.24;10,854,067.99;175,094.75;1,883,023.74
Jun 1, 2025;Jul 1, 2025;10,507,494.23;10,721,160.73;213,666.50;1,491,443.98
Jul 1, 2025;Aug 1, 2025;11,124,645.35;11,319,442.60;194,797.25;3,748,008.55
Aug 1, 2025;Sep 1, 2025;10,565,086.75;10,744,969.50;179,882.75;3,095,720.24
Sep 1, 2025;Oct 1, 2025;10,857,849.99;11,023,810.24;165,960.25;2,243,608.85
Oct 1, 2025;Nov 1, 2025;12,016,965.39;12,166,013.89;149,048.50;2,459,467.81
Nov 1, 2025;Dec 1, 2025;12,404,907.74;12,539,445.99;134,538.25;4,788,025.64
Dec 1, 2025;Jan 1, 2026;12,141,095.43;12,272,502.33;131,406.90;3,377,132.94
