Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Aug 1, 2020;Sep 1, 2020;14,244,812.00;14,447,579.75;202,767.75;11,948,997.00
Sep 1, 2020;Oct 1, 2020;14,001,986.75;14,200,369.50;198,382.75;12,048,071.25
Oct 1, 2020;Nov 1, 2020;15,451,216.25;15,660,006.50;208,790.25;12,520,152.50
Nov 1, 2020;Dec 1, 2020;15,550,413.50;15,704,951.75;154,538.25;13,420,909.75
Dec 1, 2020;Jan 1, 2021;15,651,985.00;15,833,310.00;181,325.00;13,533,695.00
Jan 1, 2021;Feb 1, 2021;16,700,096.50;16,886,156.25;186,059.75;14,474,043.50
Feb 1, 2021;Mar 1, 2021;15,151,608.50;15,319,900.75;168,292.25;12,784,229.50
Mar 1, 2021;Apr 1, 2021;16,537,400.25;16,740,997.25;203,597.00;13,792,898.25
Apr 1, 2021;May 1, 2021;15,156,190.75;15,329,983.50;173,792.75;12,621,601.00
May 1, 2021;Jun 1, 2021;14,961,464.75;15,109,082.00;147,617.25;11,680,326.25
Jun 1, 2021;Jul 1, 2021;14,677,090.25;14,808,554.25;131,464.00;12,586,413.00
Jul 1, 2021;Aug 1, 2021;15,115,691.25;15,233,062.25;117,371.00;12,916,692.00
Aug 1, 2021;Sep 1, 2021;14,581,777.50;14,673,745.50;91,968.00;12,307,324.25
Sep 1, 2021;Oct 1, 2021;14,586,571.00;14,692,156.00;105,585.00;12,762,141.50
Oct 1, 2021;Nov 1, 2021;15,770,573.75;15,878,427.25;107,853.50;12,995,057.25
Nov 1, 2021;Dec 1, 2021;15,466,255.25;15,564,236.50;97,981.25;13,824,717.75
Dec 1, 2021;Jan 1, 2022;16,028,453.00;16,134,996.75;106,543.75;13,788,219.25
Jan 1, 2022;Feb 1, 2022;16,651,346.50;16,737,055.50;85,709.00;14,121,991.50
