timestamp,energy_kwh
2026-01-01 00:00:00+00:00,537765.6285483472
2026-02-01 00:00:00+00:00,387101.426181352
2026-03-01 00:00:00+00:00,385047.57293717645
2026-04-01 00:00:00+00:00,274113.18924804433
2026-05-01 00:00:00+00:00,228253.65748183237
2026-06-01 00:00:00+00:00,160146.11723929332
2026-07-01 00:00:00+00:00,156658.2040576851
2026-08-01 00:00:00+00:00,156959.48552201025
2026-09-01 00:00:00+00:00,233548.54261682447
2026-10-01 00:00:00+00:00,326107.95521675184
2026-11-01 00:00:00+00:00,378012.5874553362
2026-12-01 00:00:00+00:00,503761.2597168501
2027-01-01 00:00:00+00:00,537765.6285483472
2027-02-01 00:00:00+00:00,406454.42105986713
2027-03-01 00:00:00+00:00,370233.97384065134
2027-04-01 00:00:00+00:00,280669.4668701156
2027-05-01 00:00:00+00:00,223307.16124481222
2027-06-01 00:00:00+00:00,160146.11723929332
2027-07-01 00:00:00+00:00,156658.2040576851
2027-08-01 00:00:00+00:00,156959.48552201025
2027-09-01 00:00:00+00:00,223518.19523604575
2027-10-01 00:00:00+00:00,327658.2127085203
2027-11-01 00:00:00+00:00,372770.3236080021
2027-12-01 00:00:00+00:00,533088.5686634844
2028-01-01 00:00:00+00:00,537765.6285483472
2028-02-01 00:00:00+00:00,387101.426181352
2028-03-01 00:00:00+00:00,385047.57293717645
2028-04-01 00:00:00+00:00,280669.4668701156
2028-05-01 00:00:00+00:00,223307.16124481222
2028-06-01 00:00:00+00:00,159803.16459699415
2028-07-01 00:00:00+00:00,156658.2040576851
2028-08-01 00:00:00+00:00,156959.48552201025
2028-09-01 00:00:00+00:00,233548.54261682447
2028-10-01 00:00:00+00:00,327658.2127085203
2028-11-01 00:00:00+00:00,372770.3236080021
2028-12-01 00:00:00+00:00,506145.5983175931
2029-01-01 00:00:00+00:00,537765.6285483472
2029-02-01 00:00:00+00:00,387101.426181352
2029-03-01 00:00:00+00:00,370233.97384065134
2029-04-01 00:00:00+00:00,280669.4668701156
2029-05-01 00:00:00+00:00,223307.16124481222
2029-06-01 00:00:00+00:00,160146.11723929332
2029-07-01 00:00:00+00:00,153205.72198088706
2029-08-01 00:00:00+00:00,156959.48552201025
2029-09-01 00:00:00+00:00,238858.16027866158
2029-10-01 00:00:00+00:00,327658.2127085203
2029-11-01 00:00:00+00:00,372770.3236080021
2029-12-01 00:00:00+00:00,508529.93691833614
2030-01-01 00:00:00+00:00,537765.6285483472
2030-02-01 00:00:00+00:00,387101.426181352
2030-03-01 00:00:00+00:00,370233.97384065134
2030-04-01 00:00:00+00:00,280669.4668701156
2030-05-01 00:00:00+00:00,223307.16124481222
2030-06-01 00:00:00+00:00,159803.16459699415
2030-07-01 00:00:00+00:00,156658.2040576851
2030-08-01 00:00:00+00:00,156959.48552201025
2030-09-01 00:00:00+00:00,233548.54261682447
2030-10-01 00:00:00+00:00,326107.95521675184
2030-11-01 00:00:00+00:00,370773.7900927461
2030-12-01 00:00:00+00:00,508529.93691833614
2031-01-01 00:00:00+00:00,537765.6285483472
2031-02-01 00:00:00+00:00,387101.426181352
2031-03-01 00:00:00+00:00,370233.97384065134
2031-04-01 00:00:00+00:00,280669.4668701156
2031-05-01 00:00:00+00:00,223307.16124481222
2031-06-01 00:00:00+00:00,160146.11723929332
2031-07-01 00:00:00+00:00,161465.7095718078
2031-08-01 00:00:00+00:00,156959.48552201025
2031-09-01 00:00:00+00:00,233548.54261682447
2031-10-01 00:00:00+00:00,326883.08396263607
2031-11-01 00:00:00+00:00,370773.7900927461
2031-12-01 00:00:00+00:00,506145.5983175931
2032-01-01 00:00:00+00:00,506188.28044387966
2032-02-01 00:00:00+00:00,387101.426181352
2032-03-01 00:00:00+00:00,370233.97384065134
2032-04-01 00:00:00+00:00,274113.18924804433
2032-05-01 00:00:00+00:00,220462.50558163115
2032-06-01 00:00:00+00:00,160146.11723929332
2032-07-01 00:00:00+00:00,156658.2040576851
2032-08-01 00:00:00+00:00,156959.48552201025
2032-09-01 00:00:00+00:00,213487.847855267
2032-10-01 00:00:00+00:00,327658.2127085203
2032-11-01 00:00:00+00:00,372770.3236080021
2032-12-01 00:00:00+00:00,503761.2597168501
2033-01-01 00:00:00+00:00,506188.28044387966
2033-02-01 00:00:00+00:00,406454.42105986713
2033-03-01 00:00:00+00:00,370233.97384065134
2033-04-01 00:00:00+00:00,274113.18924804433
2033-05-01 00:00:00+00:00,233200.15371885255
2033-06-01 00:00:00+00:00,160146.11723929332
2033-07-01 00:00:00+00:00,156658.2040576851
2033-08-01 00:00:00+00:00,156959.48552201025
2033-09-01 00:00:00+00:00,233548.54261682447
2033-10-01 00:00:00+00:00,327658.2127085203
2033-11-01 00:00:00+00:00,370773.7900927461
2033-12-01 00:00:00+00:00,503761.2597168501
2034-01-01 00:00:00+00:00,537765.6285483472
2034-02-01 00:00:00+00:00,387101.426181352
2034-03-01 00:00:00+00:00,370233.97384065134
2034-04-01 00:00:00+00:00,298219.2660546886
