timestamp,energy_kwh
2026-01-01 00:00:00+00:00,742009.760014036
2026-02-01 00:00:00+00:00,445481.6368575279
2026-03-01 00:00:00+00:00,473099.75037199585
2026-04-01 00:00:00+00:00,274103.4918799312
2026-05-01 00:00:00+00:00,183119.43896603613
2026-06-01 00:00:00+00:00,180799.65429701257
2026-07-01 00:00:00+00:00,122797.69609633979
2026-08-01 00:00:00+00:00,147218.88785743565
2026-09-01 00:00:00+00:00,203463.39115296514
2026-10-01 00:00:00+00:00,362629.54288995505
2026-11-01 00:00:00+00:00,390521.5568984027
2026-12-01 00:00:00+00:00,569373.4644739971
2027-01-01 00:00:00+00:00,443877.75528356474
2027-02-01 00:00:00+00:00,601156.5741381301
2027-03-01 00:00:00+00:00,273896.02847926586
2027-04-01 00:00:00+00:00,250700.5865174438
2027-05-01 00:00:00+00:00,246595.80050093608
2027-06-01 00:00:00+00:00,134677.38483902524
2027-07-01 00:00:00+00:00,153205.8187095282
2027-08-01 00:00:00+00:00,139345.4295967811
2027-09-01 00:00:00+00:00,334968.8626320804
2027-10-01 00:00:00+00:00,312602.4625289834
2027-11-01 00:00:00+00:00,370813.99297037744
2027-12-01 00:00:00+00:00,681939.134238539
2028-01-01 00:00:00+00:00,629113.2282054713
2028-02-01 00:00:00+00:00,358580.93322232686
2028-03-01 00:00:00+00:00,473099.75037199585
2028-04-01 00:00:00+00:00,302795.64875052654
2028-05-01 00:00:00+00:00,210033.00599140278
2028-06-01 00:00:00+00:00,160134.34292302805
2028-07-01 00:00:00+00:00,83565.12874288158
2028-08-01 00:00:00+00:00,163272.824534553
2028-09-01 00:00:00+00:00,199305.7737964396
2028-10-01 00:00:00+00:00,312602.4625289834
2028-11-01 00:00:00+00:00,247428.8272436054
2028-12-01 00:00:00+00:00,488067.1439657317
2029-01-01 00:00:00+00:00,432935.66844509286
2029-02-01 00:00:00+00:00,426599.9507757351
2029-03-01 00:00:00+00:00,370237.4301713207
2029-04-01 00:00:00+00:00,315010.64274943224
2029-05-01 00:00:00+00:00,297019.59544197604
2029-06-01 00:00:00+00:00,96220.60057202053
2029-07-01 00:00:00+00:00,181856.1350717974
2029-08-01 00:00:00+00:00,237338.17440024405
2029-09-01 00:00:00+00:00,317998.0992574034
2029-10-01 00:00:00+00:00,327659.000374538
2029-11-01 00:00:00+00:00,315772.63345842104
2029-12-01 00:00:00+00:00,488067.1439657317
2030-01-01 00:00:00+00:00,670802.0525984504
2030-02-01 00:00:00+00:00,381272.9287321593
2030-03-01 00:00:00+00:00,356395.3916263179
2030-04-01 00:00:00+00:00,231271.898171993
2030-05-01 00:00:00+00:00,233211.88628173358
2030-06-01 00:00:00+00:00,123564.3517634342
2030-07-01 00:00:00+00:00,103005.98406699949
2030-08-01 00:00:00+00:00,188506.31829184486
2030-09-01 00:00:00+00:00,146155.08612028416
2030-10-01 00:00:00+00:00,324264.2557946267
2030-11-01 00:00:00+00:00,370813.99297037744
2030-12-01 00:00:00+00:00,470633.87259657314
2031-01-01 00:00:00+00:00,418114.6843400115
2031-02-01 00:00:00+00:00,458267.30553306494
2031-03-01 00:00:00+00:00,330882.3915178008
2031-04-01 00:00:00+00:00,231271.898171993
2031-05-01 00:00:00+00:00,192920.38391720824
2031-06-01 00:00:00+00:00,183541.20404907473
2031-07-01 00:00:00+00:00,210288.98140939506
2031-08-01 00:00:00+00:00,171714.95874335757
2031-09-01 00:00:00+00:00,148448.3350680532
2031-10-01 00:00:00+00:00,362629.54288995505
2031-11-01 00:00:00+00:00,315772.63345842104
2031-12-01 00:00:00+00:00,470633.87259657314
2032-01-01 00:00:00+00:00,463456.5540290582
2032-02-01 00:00:00+00:00,421191.4654406617
2032-03-01 00:00:00+00:00,273896.02847926586
2032-04-01 00:00:00+00:00,298219.0640450415
2032-05-01 00:00:00+00:00,183119.43896603613
2032-06-01 00:00:00+00:00,167821.00731523978
2032-07-01 00:00:00+00:00,105191.52090678763
2032-08-01 00:00:00+00:00,158623.3743587544
2032-09-01 00:00:00+00:00,238853.66668721256
2032-10-01 00:00:00+00:00,419816.85339321254
2032-11-01 00:00:00+00:00,502631.7648737155
2032-12-01 00:00:00+00:00,488067.1439657317
2033-01-01 00:00:00+00:00,540010.3287475748
2033-02-01 00:00:00+00:00,406459.8755895909
2033-03-01 00:00:00+00:00,425316.33649586677
2033-04-01 00:00:00+00:00,302795.64875052654
2033-05-01 00:00:00+00:00,297019.59544197604
2033-06-01 00:00:00+00:00,247262.32841610175
2033-07-01 00:00:00+00:00,103005.98406699949
2033-08-01 00:00:00+00:00,120716.16474511992
2033-09-01 00:00:00+00:00,240051.5262350476
2033-10-01 00:00:00+00:00,386634.53262841795
2033-11-01 00:00:00+00:00,452041.89559567353
2033-12-01 00:00:00+00:00,569373.4644739971
2034-01-01 00:00:00+00:00,580786.5553426454
2034-02-01 00:00:00+00:00,445481.6368575279
2034-03-01 00:00:00+00:00,330882.3915178008
2034-04-01 00:00:00+00:00,266418.8311387182
2034-05-01 00:00:00+00:00,233211.88628173358
2034-06-01 00:00:00+00:00,247262.32841610175
2034-07-01 00:00:00+00:00,162588.43444351826
2034-08-01 00:00:00+00:00,158623.3743587544
2034-09-01 00:00:00+00:00,132066.1648119949
2034-10-01 00:00:00+00:00,419816.85339321254
2034-11-01 00:00:00+00:00,378010.5911535961
2034-12-01 00:00:00+00:00,325575.44419075287
2035-01-01 00:00:00+00:00,418114.6843400115
2035-02-01 00:00:00+00:00,458267.30553306494
2035-03-01 00:00:00+00:00,421829.4403679648
2035-04-01 00:00:00+00:00,236594.9662478593
2035-05-01 00:00:00+00:00,210033.00599140278
2035-06-01 00:00:00+00:00,125984.10350469274
2035-07-01 00:00:00+00:00,181856.1350717974
2035-08-01 00:00:00+00:00,147560.7412389998
2035-09-01 00:00:00+00:00,146155.08612028416
2035-10-01 00:00:00+00:00,328107.64425879985
2035-11-01 00:00:00+00:00,370813.99297037744
2035-12-01 00:00:00+00:00,580579.2927947143
2036-01-01 00:00:00+00:00,742009.760014036
2036-02-01 00:00:00+00:00,601156.5741381301
2036-03-01 00:00:00+00:00,338033.5575745687
2036-04-01 00:00:00+00:00,250700.5865174438
2036-05-01 00:00:00+00:00,200419.74664696312
2036-06-01 00:00:00+00:00,125984.10350469274
2036-07-01 00:00:00+00:00,99661.90110111715
2036-08-01 00:00:00+00:00,205993.23465567385
2036-09-01 00:00:00+00:00,146155.08612028416
2036-10-01 00:00:00+00:00,324264.2557946267
2036-11-01 00:00:00+00:00,300999.5877243775
2036-12-01 00:00:00+00:00,732287.8432291838
2037-01-01 00:00:00+00:00,537790.9739523964
2037-02-01 00:00:00+00:00,414820.2048307673
2037-03-01 00:00:00+00:00,421829.4403679648
2037-04-01 00:00:00+00:00,298219.0640450415
2037-05-01 00:00:00+00:00,200419.74664696312
2037-06-01 00:00:00+00:00,185107.86063160023
2037-07-01 00:00:00+00:00,246021.34361268856
2037-08-01 00:00:00+00:00,138512.63401947825
2037-09-01 00:00:00+00:00,256338.5192265066
2037-10-01 00:00:00+00:00,224140.9691464577
2037-11-01 00:00:00+00:00,390521.5568984027
2037-12-01 00:00:00+00:00,491860.7603831638
2038-01-01 00:00:00+00:00,440618.1530535645
2038-02-01 00:00:00+00:00,406459.8755895909
2038-03-01 00:00:00+00:00,425316.33649586677
2038-04-01 00:00:00+00:00,254383.1945133552
2038-05-01 00:00:00+00:00,210033.00599140278
2038-06-01 00:00:00+00:00,134677.38483902524
2038-07-01 00:00:00+00:00,164085.37253981445
