date,eeg_strike_hist,market_price_p50,markup_path,eeg_strike_p50
2017-05-01,58.18198836539946,,,
2017-08-01,46.38126336720261,,,
2017-11-01,40.21597779874906,,,
2018-02-01,49.04926605115101,,,
2018-05-01,54.78163339623266,,,
2018-08-01,61.14684871577759,,,
2018-10-01,61.72408909488863,,,
2019-02-01,60.41094535333106,,,
2019-05-01,61.15970640086792,,,
2019-08-01,61.979268547544415,,,
2019-09-01,61.95088120973324,,,
2019-10-01,61.99803988827363,,,
2019-12-01,61.10253703487694,,,
2020-02-01,61.763773620738775,,,
2020-03-01,60.80221878224975,,,
2020-06-01,61.35732158514938,,,
2020-07-01,60.84980371630464,,,
2020-09-01,61.91446287646964,,,
2020-10-01,61.14088042135379,,,
2020-12-01,59.82482879318216,,,
2021-02-01,59.96789092932666,,,
2021-05-01,58.775423415045765,,,
2021-09-01,58.09116808491973,,,
2022-02-01,57.39408816697126,,,
2022-05-01,58.46440558037364,,,
2022-09-01,58.40856262780524,,,
2022-12-01,58.652745629155376,,,
2023-02-01,73.44257057801043,,,
2023-05-01,73.4212445680079,,,
2023-08-01,73.23959569784614,,,
2023-11-01,73.10216951872873,,,
2024-02-01,73.35302733204787,,,
2024-05-01,73.26267336173912,,,
2024-08-01,73.26267336173912,,,
2024-11-01,71.9,,,
2025-02-01,70.0,,,
2025-05-01,68.7,,,
2025-08-01,66.2,,,
2026-01-01,,83.59030677143443,1.0980975763909313,91.7903132754866
2026-02-01,,77.70024496671812,1.0977225552922885,85.29331145170259
2026-03-01,,79.7828476309146,1.0973493350283314,87.54965479445083
2026-04-01,,72.6206656052027,1.0969779069515317,79.66326575702236
2026-05-01,,72.07966302291959,1.096608262455886,79.04315402596963
2026-06-01,,81.21899019000779,1.0962403929767166,89.03553772306623
2026-07-01,,92.11149592094469,1.0958742899904734,100.94262019232565
2026-08-01,,100.84201525332452,1.0955099450145356,110.47343058532451
2026-09-01,,100.73016339515314,1.0951473496070154,110.31437146768357
2026-10-01,,87.44124087465843,1.0947864953665631,95.72948964767077
2026-11-01,,98.87396594142226,1.0944273739321717,108.21037489552974
2026-12-01,,98.97286524425571,1.0940699769829834,108.28324039972276
2027-01-01,,90.35141529799279,1.0937142962380964,98.81863459676015
2027-02-01,,84.41691222511676,1.0933603234563738,92.29810245564198
2027-03-01,,85.95752892155656,1.0930080504362525,93.95227110686832
2027-04-01,,77.87426683301177,1.0926574690155524,85.08989929920043
2027-05-01,,77.47090600850689,1.092308571071288,84.62213464175022
2027-06-01,,86.4942795232597,1.0919613485194808,94.44841010743959
2027-07-01,,96.20700376338507,1.0916157933149697,105.02108473562387
2027-08-01,,104.68488907137146,1.0912718974512272,114.23967753138677
2027-09-01,,104.5483393870841,1.0909296529601726,114.054883605114
2027-10-01,,91.083358317452,1.0905890519119876,99.33451339238982
2027-11-01,,102.25376300817993,1.090250086414932,111.48217395592015
2027-12-01,,102.35789694547213,1.0899127486151623,111.56117680230706
2028-01-01,,93.68956240926843,1.0895770306965478,102.0819952171496
2028-02-01,,87.50938705398187,1.0892429248804916,95.31898070917823
2028-03-01,,89.00406030617336,1.088910423425748,96.91744899460605
2028-04-01,,80.81584750479863,1.0885795186282459,87.97447637430741
2028-05-01,,79.88617748991413,1.0882502028209076,86.93614885598608
2028-06-01,,89.39163875974421,1.0879224683734727,97.25117229145071
2028-07-01,,100.40081192636771,1.0875963076923212,109.19555234042869
2028-08-01,,108.13397828591803,1.0872717132202971,117.5710158282565
2028-09-01,,108.58887803199912,1.086948677436534,118.03053736119854
2028-10-01,,94.30927286043132,1.0866271928562796,102.4790204286474
2028-11-01,,106.24607416930493,1.0863072520307235,115.41588086991008
2028-12-01,,106.9066927272641,1.0859888475468242,116.09947602992399
2029-01-01,,96.69047706187956,1.0856719720271373,104.97414090801547
2029-02-01,,90.92014505153392,1.0853566181296441,98.68078115298955
2029-03-01,,92.25430449120839,1.0850427785475825,100.09986687811546
2029-04-01,,83.59979602800257,1.084730446009277,90.68324403173982
2029-05-01,,83.23752677670461,1.0844196132779702,90.26440659740871
