Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2019;Jan 2, 2019;13,104.00;10,808.00;16,916.50;1,187.75;192.00;50,568.75;29,970.25;0.00;5,269.00;3,432.00
Jan 2, 2019;Jan 3, 2019;13,104.00;10,967.50;17,678.25;3,159.25;192.00;57,417.50;49,482.00;0.00;4,080.50;3,432.00
Jan 3, 2019;Jan 4, 2019;13,104.00;10,826.50;4,612.00;2,964.50;192.00;64,716.50;59,792.75;0.00;9,939.50;3,432.00
Jan 4, 2019;Jan 5, 2019;13,104.00;10,686.25;6,345.50;2,685.75;192.00;64,742.50;49,834.75;0.00;9,458.00;3,432.00
Jan 5, 2019;Jan 6, 2019;13,104.00;10,491.00;15,830.50;370.50;192.00;64,561.00;36,102.00;0.00;2,507.25;3,432.00
Jan 6, 2019;Jan 7, 2019;13,104.00;10,529.25;11,298.00;972.00;192.00;64,528.00;39,507.00;0.00;6,992.75;3,432.00
Jan 7, 2019;Jan 8, 2019;13,104.00;11,218.75;6,960.75;1,575.00;192.00;64,377.50;49,743.25;704.25;12,492.00;3,432.00
Jan 8, 2019;Jan 9, 2019;13,104.00;10,524.50;25,701.00;2,415.75;192.00;64,513.75;49,419.00;0.00;4,785.75;3,432.00
Jan 9, 2019;Jan 10, 2019;13,104.00;10,370.50;17,546.00;1,536.50;192.00;64,587.50;65,228.75;0.00;7,018.00;3,432.00
Jan 10, 2019;Jan 11, 2019;13,104.00;13,763.75;5,817.25;779.50;192.00;64,878.00;70,575.00;2,895.50;17,629.50;5,322.75
Jan 11, 2019;Jan 12, 2019;13,104.00;10,448.50;6,722.75;615.25;192.00;64,677.00;62,717.75;1,898.25;10,317.25;4,382.50
Jan 12, 2019;Jan 13, 2019;13,104.00;9,899.75;13,759.00;698.25;192.00;64,484.50;35,878.25;0.00;4,692.50;3,432.00
Jan 13, 2019;Jan 14, 2019;13,104.00;12,068.75;25,631.75;465.75;192.00;63,304.00;17,250.25;0.00;3,612.50;3,432.00
Jan 14, 2019;Jan 15, 2019;13,104.00;15,436.50;20,810.25;2,323.25;192.00;62,557.00;56,769.75;0.00;10,637.00;3,432.00
Jan 15, 2019;Jan 16, 2019;13,104.00;15,177.00;17,135.25;4,110.50;192.00;64,445.75;66,238.50;76.50;8,296.50;3,576.50
Jan 16, 2019;Jan 17, 2019;13,104.00;13,371.50;12,660.00;7,333.25;192.00;64,614.00;48,145.50;0.00;8,439.75;3,432.00
Jan 17, 2019;Jan 18, 2019;13,104.00;12,564.25;26,135.00;2,505.25;192.00;64,587.50;48,333.50;1,646.25;5,354.50;3,432.00
