date,TenneT,50Hertz,Amprion,TransnetBW
2015-04-30,49732.75,62874.25,34692.75,2224.75
2015-05-01,28588.0,26489.5,8315.0,848.75
2015-05-02,15681.5,12433.5,3969.0,257.75
2015-05-03,91738.75,63146.75,30688.75,1886.25
2015-05-04,79539.25,59680.75,31142.5,1954.25
2015-05-05,152285.75,116339.0,82770.25,3881.75
2015-05-06,120860.75,66020.5,70429.25,1737.75
2015-05-07,117976.75,102000.75,42880.5,1657.25
2015-05-08,15106.75,16784.25,4128.75,1370.5
2015-05-09,118446.75,50313.0,65087.75,3496.25
2015-05-10,102738.75,117689.25,18424.25,1628.0
2015-05-11,71405.0,44292.25,20753.5,1462.0
2015-05-12,84097.25,118795.25,46369.0,2575.25
2015-05-13,101291.0,85389.75,15416.75,779.25
2015-05-14,29849.0,34324.75,7191.25,772.5
2015-05-15,21426.75,13191.0,15993.5,1323.5
2015-05-16,74389.75,55870.5,25425.5,1184.75
2015-05-17,99679.75,103543.0,16441.5,690.0
2015-05-18,55826.75,35264.0,36961.0,997.25
2015-05-19,100128.5,71277.5,59789.0,1914.25
2015-05-20,47787.25,13614.5,20531.0,590.0
2015-05-21,32116.75,23229.0,10570.5,1165.25
2015-05-22,21750.0,5381.0,3193.25,955.25
2015-05-23,31923.5,19421.75,9504.0,1155.25
2015-05-24,8056.0,5711.5,3905.75,459.75
2015-05-25,27657.25,26035.75,8999.5,608.5
2015-05-26,56662.25,44898.5,19156.5,1030.0
2015-05-27,47427.75,56546.75,9312.0,443.25
2015-05-28,99970.25,84324.0,47222.5,1011.0
2015-05-29,62211.75,32205.5,33961.75,1196.5
2015-05-30,119446.0,110889.75,0.0,2806.0
2015-05-31,99645.75,79321.75,56206.5,966.5
2015-06-01,61181.5,57030.5,21228.75,1816.75
2015-06-02,189619.25,141819.25,90363.75,2985.75
2015-06-03,136600.25,139711.75,44401.0,2516.5
2015-06-04,16237.0,16430.25,8596.5,513.0
2015-06-05,55912.75,61384.75,16282.75,1277.25
2015-06-06,78593.25,69218.5,19476.5,1578.75
2015-06-07,51273.0,21941.0,16796.0,955.75
2015-06-08,56573.25,44529.25,38489.25,2489.0
2015-06-09,35446.75,30869.25,32810.25,2179.5
2015-06-10,30050.5,18173.5,24850.75,1250.75
2015-06-11,23519.25,12438.25,18448.25,686.75
2015-06-12,18456.25,15589.0,12446.0,503.25
2015-06-13,50948.0,35566.25,26195.25,1634.5
2015-06-14,46358.25,44479.75,12006.75,442.25
2015-06-15,41380.25,37378.0,17591.25,742.25
2015-06-16,36541.75,24253.25,15281.5,1012.75
2015-06-17,51137.75,25051.25,13227.0,827.5
2015-06-18,82043.5,62187.75,39826.0,2839.75
2015-06-19,83439.5,81428.75,19220.75,2315.5
2015-06-20,56596.5,60106.25,9484.5,1268.75
2015-06-21,18067.0,28157.75,16568.25,1026.25
2015-06-22,39542.25,41494.75,35294.5,3252.0
2015-06-23,66555.25,62234.0,34925.5,4531.5
2015-06-24,74219.75,77539.75,10445.5,348.25
2015-06-25,15324.25,27840.0,5563.5,187.25
2015-06-26,5526.5,11152.0,8572.0,160.25
2015-06-27,75782.75,40739.5,32693.25,1506.0
2015-06-28,20280.75,36624.25,4006.5,401.0
2015-06-29,22242.75,14790.0,9560.25,268.0
2015-06-30,12366.25,17712.75,7427.75,283.5
2015-07-01,60244.5,30926.5,26272.5,1308.0
2015-07-02,91929.75,69457.25,22358.5,1362.25
2015-07-03,29988.25,39972.25,9745.75,794.0
2015-07-04,28209.25,27033.5,15638.0,1203.5
2015-07-05,27159.75,31371.25,20908.75,880.75
2015-07-06,81333.5,67150.75,13579.75,1628.0
2015-07-07,35305.75,22548.5,26115.75,1435.25
2015-07-08,152403.25,130761.75,77729.75,5638.0
2015-07-09,165730.25,162182.75,41522.5,3434.0
2015-07-10,77177.75,130882.0,6930.5,256.75
2015-07-11,13715.5,7091.75,20401.75,2421.0
2015-07-12,42609.0,34888.75,22174.5,2163.25
2015-07-13,30214.0,51998.75,27915.5,1186.5
2015-07-14,36732.5,36850.5,39240.75,2524.75
2015-07-15,13386.25,27508.25,5055.0,217.5
2015-07-16,14428.75,11516.25,4558.25,190.25
2015-07-17,78124.5,26546.25,42333.5,1406.5
2015-07-18,66269.5,39567.0,19313.75,2002.0
2015-07-19,41022.75,43917.0,28371.75,3165.5
2015-07-20,40458.25,55888.5,13634.0,682.0
2015-07-21,79599.75,60835.0,25799.25,529.5
2015-07-22,34242.5,20278.0,13077.5,923.0
2015-07-23,27015.5,30727.75,10362.0,828.5
2015-07-24,33086.0,30999.0,9438.0,766.25
2015-07-25,139350.0,159031.25,98821.25,8152.25
2015-07-26,96134.75,124211.25,24189.25,1217.0
2015-07-27,98158.0,63817.75,77922.0,7825.0
2015-07-28,158543.75,147002.5,81873.25,6585.75
2015-07-29,152787.75,131242.25,58350.0,2569.0
2015-07-30,150963.5,181766.5,0.0,1557.25
2015-07-31,46322.75,54057.75,10813.25,1323.5
2015-08-01,21327.0,21992.0,13944.25,1665.0
2015-08-02,11673.75,17810.75,6426.75,707.5
2015-08-03,57486.0,25787.25,17951.25,1303.0
2015-08-04,58544.0,66173.0,25795.0,2976.25
2015-08-05,24740.25,19486.25,9738.75,540.5
2015-08-06,40201.0,23929.25,16089.5,1002.5
2015-08-07,17584.5,37945.25,12891.5,777.25
2015-08-08,38410.25,61487.75,19136.5,2138.25
2015-08-09,22952.75,29393.75,10732.75,2665.5
2015-08-10,23130.25,36180.0,12183.25,1281.75
2015-08-11,19601.5,47951.0,9686.0,1128.25
2015-08-12,23899.75,33049.5,11198.5,1014.0
2015-08-13,76318.25,55593.5,23724.25,2676.75
2015-08-14,66350.25,91757.0,14994.5,1641.0
2015-08-15,16060.25,25819.25,17896.5,2024.75
2015-08-16,33597.5,12976.25,24301.5,1708.0
2015-08-17,45343.75,47935.0,20666.75,1336.5
2015-08-18,34134.25,43467.5,12662.25,499.75
2015-08-19,4733.25,20611.25,2259.75,185.25
2015-08-20,6147.5,13707.0,2606.25,148.0
2015-08-21,20251.0,15599.5,6005.25,341.0
2015-08-22,44661.5,28889.25,19758.0,1703.5
2015-08-23,117221.75,76138.25,51331.5,3476.75
2015-08-24,89200.5,77284.5,51491.0,3325.0
2015-08-25,142577.25,123533.75,80538.5,4657.25
2015-08-26,106672.0,72355.0,51537.75,1818.25
2015-08-27,83086.25,76504.0,31197.0,4004.75
2015-08-28,40791.0,19181.75,5929.0,2503.75
2015-08-29,14692.0,8811.75,4191.25,857.5
2015-08-30,20162.0,17681.5,0.0,727.5
2015-08-31,27587.25,19331.25,30518.0,1337.25
2015-09-01,81127.25,63885.5,20530.5,3647.5
2015-09-02,87592.0,43642.5,8441.25,261.75
2015-09-03,40717.5,10100.0,9662.5,455.75
2015-09-04,111219.5,35121.25,38243.25,1293.5
2015-09-05,165148.5,173454.5,47791.5,3207.5
2015-09-06,180442.75,226781.5,47301.25,3514.0
2015-09-07,42999.0,73180.5,21853.0,1768.5
2015-09-08,16216.5,46558.25,6182.25,707.25
2015-09-09,30475.5,30018.25,20745.5,2533.75
2015-09-10,52376.0,40000.75,33473.25,4323.25
2015-09-11,56962.0,42875.25,16370.25,1451.75
2015-09-12,53537.75,40768.75,20868.0,2066.75
2015-09-13,30532.25,61830.75,20099.75,1369.25
2015-09-14,60634.0,78638.0,48894.75,4302.75
2015-09-15,138987.5,97738.0,68713.5,3913.5
2015-09-16,114577.25,79291.5,69469.5,4014.25
2015-09-17,173244.5,127836.0,85872.25,4526.5
2015-09-18,76193.75,68292.75,26721.25,1788.75
2015-09-19,28648.0,34613.75,11285.0,2172.5
2015-09-20,58081.75,68609.25,12808.25,667.75
2015-09-21,24815.5,35529.5,10567.5,426.25
2015-09-22,50517.25,67915.25,30547.0,3488.5
2015-09-23,19067.25,30401.0,24000.0,2349.0
2015-09-24,77316.25,48694.75,30800.25,537.0
2015-09-25,29660.0,21934.75,8582.75,311.5
2015-09-26,18742.25,23898.75,12991.0,2013.25
2015-09-27,28251.0,23125.25,28860.0,4616.5
2015-09-28,22377.0,24157.5,30803.25,6006.0
2015-09-29,52617.25,44447.0,56158.0,9892.0
2015-09-30,49164.0,32586.25,56446.0,8346.75
2015-10-01,33188.5,18380.0,44718.0,7035.25
2015-10-02,26838.25,17740.5,22807.75,4304.25
2015-10-03,25352.5,22408.75,9577.75,1127.75
2015-10-04,16703.5,21805.25,9669.75,1027.0
2015-10-05,47041.5,20671.25,24157.0,2283.5
2015-10-06,103317.75,95813.5,31802.5,2592.25
2015-10-07,58948.5,76665.0,29109.5,2460.5
2015-10-08,13906.25,20402.0,8955.0,607.25
2015-10-09,11039.75,20525.0,5190.25,667.0
2015-10-10,60291.0,70752.5,21259.75,2537.75
2015-10-11,113099.25,110189.5,40951.5,3463.5
2015-10-12,77317.25,69721.25,26301.0,2717.5
2015-10-13,50261.5,21851.25,19468.25,918.25
2015-10-14,36757.0,32948.0,5605.25,488.75
2015-10-15,51245.0,57658.5,8276.0,582.25
2015-10-16,24318.0,8024.5,2823.25,414.5
2015-10-17,5250.0,2466.75,2414.75,250.25
2015-10-18,13063.5,4384.5,1016.75,72.5
2015-10-19,6463.5,10055.5,942.5,110.75
2015-10-20,5338.5,15162.25,3618.75,202.75
2015-10-21,42982.75,22234.75,10740.0,73.5
2015-10-22,94718.5,75629.0,31882.5,1983.75
2015-10-23,55177.75,89990.0,7009.75,780.25
2015-10-24,45878.75,29625.5,14256.0,2339.0
2015-10-25,39480.75,41191.5,10899.25,1750.25
2015-10-26,57007.5,29941.0,24269.25,2483.5
2015-10-27,58920.0,61685.25,15223.25,1258.75
2015-10-28,59311.5,57924.5,10526.5,676.75
2015-10-29,9158.25,12710.75,5659.0,740.75
2015-10-30,30395.75,8086.5,21022.0,2136.25
2015-10-31,68431.75,57958.5,28305.5,2535.5
2015-11-01,21075.0,51139.75,6528.25,1656.0
2015-11-02,12168.25,11866.5,8361.25,1332.0
2015-11-03,7677.75,11287.75,4017.5,894.5
2015-11-04,29595.25,14482.0,28562.25,988.5
2015-11-05,42640.0,14658.0,18342.25,404.25
2015-11-06,76030.0,50453.0,42314.25,2668.0
2015-11-07,131721.25,101392.75,51514.5,2809.75
2015-11-08,106214.25,130732.25,35621.0,2452.5
2015-11-09,207312.0,190006.0,98716.75,9437.75
2015-11-10,215519.5,223829.5,82514.0,5296.0
2015-11-11,144119.75,133043.75,43976.5,1766.5
2015-11-12,105332.75,102347.5,19881.5,1793.0
2015-11-13,171922.75,137925.25,72646.75,6047.5
2015-11-14,206471.5,217078.5,93835.75,7690.5
2015-11-15,188732.75,172954.0,135598.5,11719.25
2015-11-16,168873.5,122391.75,80379.5,6496.25
2015-11-17,151476.0,156383.75,110475.75,10437.5
2015-11-18,253304.75,236895.75,130727.75,11335.0
2015-11-19,244183.25,238045.25,116127.5,13062.0
2015-11-20,120985.0,109100.75,46478.5,5150.25
2015-11-21,75849.0,50090.5,29543.25,3139.0
2015-11-22,123994.0,73229.25,41013.0,2779.5
2015-11-23,65526.5,39964.0,17227.75,1322.75
2015-11-24,159830.5,121173.75,63659.75,1989.0
2015-11-25,57798.5,65924.5,31487.75,3047.5
2015-11-26,36855.25,22345.75,12598.5,770.25
2015-11-27,105969.75,45043.0,28036.0,293.0
2015-11-28,170745.25,158011.0,84565.0,5007.75
2015-11-29,250348.75,241807.5,140186.25,11679.0
2015-11-30,208545.5,210736.75,124468.5,12787.5
2015-12-01,124592.75,151767.0,77694.0,11541.5
2015-12-02,133268.5,117712.75,36800.0,1233.0
2015-12-03,106712.75,80755.0,30461.75,1161.25
2015-12-04,189182.0,178419.0,72854.5,4869.25
2015-12-05,229278.75,210102.0,88635.0,2737.5
2015-12-06,225974.75,227580.0,98318.0,6359.5
2015-12-07,38407.0,48032.75,23883.75,2111.75
2015-12-08,91827.5,47952.5,39663.25,1635.25
2015-12-09,112175.0,94071.5,36915.0,2432.25
2015-12-10,161621.25,135495.5,45496.25,2509.5
2015-12-11,177980.75,193390.5,84060.5,7624.75
2015-12-12,145800.5,157514.5,63826.75,5622.5
2015-12-13,103644.25,130950.75,47817.75,3818.5
2015-12-14,40563.75,28272.75,17129.75,1848.0
2015-12-15,23733.25,23795.75,15708.75,2269.5
2015-12-16,86638.0,60250.0,43146.0,3423.5
2015-12-17,117541.25,116147.0,50440.25,3015.5
2015-12-18,116163.25,117398.25,37264.5,3117.25
2015-12-19,118429.0,97674.25,35408.0,1197.5
2015-12-20,129372.75,116664.25,54568.5,3086.25
2015-12-21,207040.5,184574.0,106887.0,7734.0
2015-12-22,229666.75,229735.25,114322.75,8075.25
2015-12-23,206714.0,208546.75,83349.75,5348.0
2015-12-24,160955.25,131332.5,78963.25,3850.25
2015-12-25,147862.0,139128.0,67494.75,5163.0
2015-12-26,221898.0,244355.75,86181.5,3974.75
2015-12-27,159138.25,171382.25,66607.5,3106.75
2015-12-28,75675.25,47796.5,33376.5,3114.0
2015-12-29,116477.0,107668.5,32056.5,1504.5
2015-12-30,125748.0,123164.25,0.0,3028.5
2015-12-31,128241.75,128653.75,0.0,2024.0
2016-01-01,40762.0,19310.0,24898.25,1559.25
2016-01-02,175538.25,110828.75,52708.25,2544.25
2016-01-03,165856.75,142457.25,46282.0,1914.0
2016-01-04,110657.25,79188.0,38120.75,5498.75
2016-01-05,96399.0,42525.25,18673.0,3290.25
2016-01-06,70033.5,23507.5,8721.25,1860.75
2016-01-07,124713.5,53116.25,64854.5,5025.5
2016-01-08,173280.5,200028.75,62995.0,4186.0
2016-01-09,78360.75,53386.75,30913.5,1088.25
2016-01-10,124892.5,97150.5,66590.5,5808.5
2016-01-11,75852.75,37292.0,52003.0,7035.75
2016-01-12,106974.0,78199.75,81674.75,10782.5
2016-01-13,107806.5,115441.5,85089.25,11774.5
2016-01-14,84328.75,61474.0,61036.75,4146.75
2016-01-15,52688.25,23846.25,53805.0,10626.5
2016-01-16,37811.75,15261.5,51356.5,4081.75
2016-01-17,41022.25,18972.0,25717.0,2994.0
2016-01-18,30254.0,13413.75,14071.0,952.25
2016-01-19,63390.25,59410.75,8569.0,244.25
2016-01-20,30753.0,55862.25,17021.5,929.25
2016-01-21,6273.0,19381.0,3919.0,759.75
2016-01-22,52269.75,64691.25,31229.75,2002.0
2016-01-23,93554.0,108674.75,40873.25,4400.5
2016-01-24,95005.25,70710.25,35836.0,2929.25
2016-01-25,108946.0,102391.25,39850.5,2487.5
2016-01-26,179926.5,153886.0,81454.0,6501.5
2016-01-27,248728.0,223336.75,126614.25,9335.75
2016-01-28,179338.25,180064.0,51140.25,5501.75
2016-01-29,246782.75,212814.75,116642.5,5906.75
2016-01-30,228493.25,251118.5,127480.0,11593.5
2016-01-31,165061.0,193713.5,77583.25,6985.5
2016-02-01,202298.5,153994.5,134029.5,13976.0
2016-02-02,269207.5,245407.0,126231.75,12445.0
2016-02-03,198754.5,209319.75,71735.0,5391.5
2016-02-04,114057.75,154872.5,63006.5,8895.25
2016-02-05,95135.5,86373.0,37081.5,2235.0
2016-02-06,144544.5,119504.25,74662.75,5895.75
2016-02-07,196383.0,149083.75,103927.75,5624.5
2016-02-08,268952.25,251179.75,148142.25,14196.25
2016-02-09,207036.0,238113.0,117019.75,13001.0
2016-02-10,140323.25,149242.75,78887.5,10568.75
2016-02-11,113093.75,147157.0,37728.0,4393.0
2016-02-12,24999.75,40734.75,17721.25,2045.75
2016-02-13,62188.25,34913.75,30181.0,4528.25
2016-02-14,130558.75,61650.0,27809.0,5724.75
2016-02-15,79748.75,63043.5,30202.5,1025.25
2016-02-16,23820.75,24426.5,12422.75,2999.5
2016-02-17,61400.25,79223.75,14661.75,2010.0
2016-02-18,22669.25,24137.25,9664.5,940.25
2016-02-19,44602.0,15842.5,20157.0,2782.0
2016-02-20,209109.5,189295.5,123314.5,13631.25
2016-02-21,225683.0,201153.25,139935.5,15170.25
2016-02-22,190532.0,194618.0,99627.75,11820.0
2016-02-23,112413.5,97296.5,24657.25,4698.0
2016-02-24,87741.75,116957.0,12090.25,711.75
2016-02-25,63075.5,50172.25,16186.75,473.5
2016-02-26,30845.5,41566.75,9189.5,1737.5
2016-02-27,35868.75,33433.25,38491.5,4280.0
2016-02-28,58407.5,40596.0,70780.25,7918.0
2016-02-29,69412.75,112281.75,57947.0,5674.75
2016-03-01,88939.5,49358.25,42676.0,3096.5
2016-03-02,127315.0,120851.5,81965.75,7814.25
2016-03-03,39295.75,25798.75,29873.5,2907.25
2016-03-04,105388.75,68531.5,58165.75,5316.0
2016-03-05,17324.75,53648.0,4545.0,1700.0
2016-03-06,32747.25,47447.75,19795.5,4481.0
2016-03-07,27360.25,18608.75,5921.0,990.25
2016-03-08,31319.5,11733.5,11680.5,366.0
2016-03-09,91318.75,51655.5,52893.25,1611.75
2016-03-10,54578.25,34581.25,16502.75,1233.5
2016-03-11,35948.5,26869.5,19665.5,2869.0
2016-03-12,30696.0,24185.0,23163.25,3081.0
2016-03-13,45235.25,30036.0,47034.25,8081.5
2016-03-14,29727.25,13501.0,40827.0,7157.0
2016-03-15,53587.0,61984.75,21656.75,2727.5
2016-03-16,88618.25,69680.25,78217.5,11758.5
2016-03-17,29685.5,16872.5,20648.5,2474.25
2016-03-18,46956.0,49197.5,9928.75,518.5
2016-03-19,45009.75,31158.25,7571.25,533.0
2016-03-20,113442.5,108168.5,13915.5,321.0
2016-03-21,123874.5,119790.5,21358.25,747.25
2016-03-22,72180.75,62215.75,20112.0,941.5
2016-03-23,64887.25,27221.25,22976.75,872.0
2016-03-24,27125.75,22462.75,11348.5,675.25
2016-03-25,68593.25,46277.0,37476.75,4540.5
2016-03-26,94270.25,49998.75,43537.5,2406.25
2016-03-27,128047.5,120159.5,79048.75,5630.5
2016-03-28,192899.5,127042.75,106426.0,8024.0
2016-03-29,141136.25,144662.5,88743.75,9677.75
2016-03-30,122774.0,94049.25,44836.75,4076.75
2016-03-31,39186.75,30296.5,25696.5,1342.0
2016-04-01,40057.75,19420.0,26581.25,2737.0
2016-04-02,56542.5,76878.5,15740.5,3308.0
2016-04-03,30571.5,37300.75,20644.75,1539.0
2016-04-04,63417.75,8614.75,35117.0,2126.75
2016-04-05,47043.25,34716.75,20686.5,3605.0
2016-04-06,153560.25,119792.25,72593.0,3635.0
2016-04-07,157575.75,95301.75,56324.25,3721.0
2016-04-08,47091.75,33264.75,9858.0,269.0
2016-04-09,24280.5,13412.25,9466.5,1213.75
2016-04-10,66879.0,29225.25,20530.25,1565.5
2016-04-11,100606.25,34086.5,44494.75,2291.75
2016-04-12,42718.75,13024.0,15591.25,1702.0
2016-04-13,22944.0,13686.25,3992.25,2556.75
2016-04-14,14282.25,30190.5,5942.5,1188.75
2016-04-15,61736.5,79104.0,56007.5,5201.25
2016-04-16,127107.5,106306.5,55063.5,5638.0
2016-04-17,82035.75,58465.5,11570.25,1955.5
2016-04-18,111612.5,63034.25,21460.5,527.75
2016-04-19,150967.0,168125.5,24595.5,1211.25
2016-04-20,72178.25,85189.5,16267.75,2702.5
2016-04-21,34764.25,29265.5,15729.0,2795.0
2016-04-22,67546.0,47554.0,12998.0,583.5
2016-04-23,81963.5,44485.75,31976.5,2428.75
2016-04-24,60605.0,67155.0,32266.75,2625.75
2016-04-25,87125.5,76609.0,53535.0,6112.75
2016-04-26,80908.0,95289.0,73443.5,7379.75
2016-04-27,109270.75,157559.75,78493.5,8262.75
2016-04-28,63827.5,91326.25,18813.75,1744.25
2016-04-29,114919.5,74998.25,51654.25,872.0
2016-04-30,48430.75,50313.0,18028.25,1185.25
2016-05-01,64036.25,62947.5,56392.25,6014.75
2016-05-02,23446.5,23669.5,8415.0,2514.25
2016-05-03,76532.25,67129.75,34565.75,3619.25
2016-05-04,21602.25,55048.0,7123.0,1689.5
2016-05-05,48713.0,22497.75,38031.25,7038.0
2016-05-06,111265.75,63544.0,30538.75,2949.0
2016-05-07,121784.75,108251.0,28475.75,3981.5
2016-05-08,159832.25,119684.5,58973.5,6032.75
2016-05-09,148693.75,108215.25,53117.0,4611.25
2016-05-10,104178.5,88831.75,24542.75,2752.75
2016-05-11,116957.75,88423.75,30421.0,4672.5
2016-05-12,137663.5,113882.25,37513.5,3125.0
2016-05-13,84466.0,66810.25,27695.5,2478.75
2016-05-14,147309.75,124361.25,53249.75,3780.75
2016-05-15,147452.0,146300.25,43560.0,4136.0
2016-05-16,93096.75,122440.5,17063.0,3466.5
2016-05-17,78412.5,85936.0,15173.0,1685.5
2016-05-18,34142.75,20413.5,19150.25,1847.5
2016-05-19,20554.75,16533.5,12167.0,3374.0
2016-05-20,66198.75,54071.5,31637.5,2684.0
2016-05-21,52314.75,18658.0,22514.0,900.5
2016-05-22,82274.0,76307.25,40405.0,4860.5
2016-05-23,44155.0,53630.0,40142.75,4440.0
2016-05-24,67157.5,64316.5,29802.75,5002.75
2016-05-25,4731.5,21694.5,845.25,98.75
2016-05-26,5841.25,6171.25,4133.75,677.0
2016-05-27,13167.5,6365.0,10131.0,1806.0
2016-05-28,33170.75,18055.75,8033.25,1102.0
2016-05-29,61266.25,44689.5,14653.75,3086.0
2016-05-30,83895.75,70056.5,33268.25,7205.0
2016-05-31,38164.25,21225.75,18520.25,3097.25
2016-06-01,77001.5,27548.5,15690.25,1863.0
2016-06-02,34130.5,20204.0,10700.5,1527.25
2016-06-03,35290.0,44016.5,5087.75,142.25
2016-06-04,25642.0,12979.75,9085.0,211.25
2016-06-05,16381.5,14215.0,7676.0,450.5
