Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2015 12:00 AM;Jan 1, 2015 1:00 AM;4,328.25;2,917.00;516.50;8,193.25;0.00;133.00;10,710.50;15,687.25;3,234.50;2,245.75;1,525.75;5,208.50
Jan 1, 2015 1:00 AM;Jan 1, 2015 2:00 AM;4,286.75;2,896.00;516.25;8,367.50;0.00;122.75;11,086.25;15,321.75;2,365.50;1,711.00;1,079.25;5,181.00
Jan 1, 2015 2:00 AM;Jan 1, 2015 3:00 AM;4,323.50;2,779.25;514.00;8,604.00;0.00;93.00;11,026.25;14,817.50;2,241.00;1,562.50;787.00;5,292.50
Jan 1, 2015 3:00 AM;Jan 1, 2015 4:00 AM;4,344.75;2,775.00;517.75;8,617.00;0.00;87.00;11,027.75;14,075.00;2,354.00;1,553.75;287.75;5,271.50
Jan 1, 2015 4:00 AM;Jan 1, 2015 5:00 AM;4,340.75;2,836.50;519.75;8,707.50;0.00;87.00;10,962.25;14,115.00;2,475.50;1,557.25;346.75;5,243.00
Jan 1, 2015 5:00 AM;Jan 1, 2015 6:00 AM;4,330.25;2,809.25;520.00;8,775.50;0.00;87.00;10,696.00;13,474.25;2,231.00;1,578.50;765.50;5,376.50
Jan 1, 2015 6:00 AM;Jan 1, 2015 7:00 AM;4,313.25;2,760.75;521.50;9,251.00;0.00;87.00;10,299.50;12,403.75;2,386.25;1,591.00;414.50;5,575.75
Jan 1, 2015 7:00 AM;Jan 1, 2015 8:00 AM;4,312.75;2,844.50;520.25;9,942.25;0.00;87.00;10,035.25;12,062.50;2,504.00;1,596.25;582.50;5,746.25
Jan 1, 2015 8:00 AM;Jan 1, 2015 9:00 AM;4,299.75;2,862.00;525.25;9,792.50;54.75;87.00;10,245.75;12,405.00;2,543.00;1,592.00;750.50;6,122.50
Jan 1, 2015 9:00 AM;Jan 1, 2015 10:00 AM;4,316.25;2,926.25;527.00;9,647.75;782.75;86.25;10,060.25;12,798.75;2,399.00;1,611.75;387.00;6,642.00
Jan 1, 2015 10:00 AM;Jan 1, 2015 11:00 AM;4,307.75;2,956.00;525.00;10,170.75;2,138.25;82.00;10,082.25;12,728.50;2,569.75;1,612.00;176.25;6,924.00
Jan 1, 2015 11:00 AM;Jan 1, 2015 12:00 PM;4,311.75;2,940.50;527.25;11,020.25;3,396.25;82.00;9,949.00;12,451.00;2,670.50;1,618.75;884.50;6,829.75
