quarter,50Hertz_curtailment_rate,Amprion_curtailment_rate,TenneT_curtailment_rate,TransnetBW_curtailment_rate
2015Q1,0.035197043168572986,0.004226868525862022,0.10601567240860756,0.00358071047991056
2015Q2,0.032285944569617205,0.00445111360206573,0.09789775544373555,0.0037697446120732933
2015Q3,0.0322109227687475,0.00442736632152279,0.0966168673276625,0.0036497009812402337
2015Q4,0.035967653843905746,0.0041315185502196275,0.11077820577588632,0.0034274977204143443
2016Q1,0.03475212141229424,0.004042435540722752,0.10867512260065366,0.003198398990737282
2016Q2,0.0317502377525684,0.00445504520617708,0.09859459197398222,0.0035500634100354526
2016Q3,0.031252944642071734,0.004561243239725735,0.09523097451459495,0.0035630766269788075
2016Q4,0.03420891176416787,0.004318835647776732,0.10443223710252496,0.003111968104340959
2017Q1,0.03448103253091401,0.004093450086026906,0.11078457124564961,0.002764155530073118
2017Q2,0.03406865360838388,0.004408067342691377,0.10585586847566882,0.003253525830306442
2017Q3,0.032407833674247016,0.0043869955142413625,0.0997779975372822,0.0032625812416204256
2017Q4,0.03893765103117926,0.003765145394868972,0.12521012119870822,0.0023624790778092597
2018Q1,0.03553911471626774,0.0037450874931914575,0.11859935147566988,0.0022960009577802087
2018Q2,0.03349284003274894,0.004271545939477678,0.10766138688746009,0.0029985459966027674
2018Q3,0.03212528810865437,0.004389467333645543,0.10164255679829223,0.003312166913714075
2018Q4,0.03729994851150496,0.0037578967914068603,0.12037314630489952,0.0023807203593277197
2019Q1,0.04071767854366938,0.0035419933565821182,0.12827785966889624,0.0018248633373106025
2019Q2,0.0345685051045679,0.004209370062897372,0.10957322129291022,0.002762762113912659
2019Q3,0.032957694601871305,0.00429691607597742,0.10510377337715227,0.003135942336454204
2019Q4,0.03688506477752623,0.00357158681332128,0.12165891611684698,0.001916958945054989
2020Q1,0.041087710711614454,0.00309949721467008,0.1389807390596084,0.0011829842253027606
2020Q2,0.03398218356145016,0.004107130242124165,0.10987233908378694,0.00263364450787891
2020Q3,0.03220259071597297,0.0042162692386396965,0.10293110642431831,0.003088379817321612
2020Q4,0.03637060550305943,0.003647276500250183,0.12154249475246,0.0024106166765457127
2021Q1,0.035074490108952604,0.003772371525832697,0.11810157504056859,0.002185007228513447
2021Q2,0.034322449094811726,0.004082936333914464,0.10862778193489825,0.0025386944114015562
2021Q3,0.03240502795951891,0.004315758744370041,0.10254710839377751,0.0031103487239482024
2021Q4,0.036045151506140814,0.0037961899841711076,0.11881205379918765,0.002455426986021577
2022Q1,0.03953024441155797,0.0034425350732422352,0.13433563134016002,0.0015709262346425557
2022Q2,0.034177496330656,0.004021602616752152,0.11234618057326898,0.0026670140879078534
2022Q3,0.03247153871644226,0.004275262445127791,0.1039873423941659,0.002840556910983328
2022Q4,0.03597049670878526,0.00348604915799244,0.1253813813944055,0.002218261673520402
2023Q1,0.03959209883298884,0.003032952010841493,0.13750490120207903,0.0012538164532102172
2023Q2,0.034176459081398554,0.003939570098737365,0.11610262851551878,0.002441645075083248
2023Q3,0.03396523833078138,0.0038521615965635553,0.11217211848824116,0.0024338723138835443
2023Q4,0.0409547967060248,0.0027072550307407697,0.1484135714662586,0.0008126587005204584
2024Q1,0.03945390311138022,0.0031712627669000133,0.14537820663026563,0.0013743980388480313
2024Q2,0.03473109952929678,0.003860084644869352,0.11859884476051036,0.002303101507838811
2024Q3,0.0339508938840963,0.003976242687270749,0.11427959352476033,0.00269264758518839
2024Q4,0.03777773795198913,0.0034177158601415396,0.13254827478924225,0.002056427180541394
2025Q1,0.03541394194999641,0.0037509864929468374,0.12334076869722346,0.0022247282665766796
2025Q2,0.03513978429648093,0.0037840326999670354,0.12053901190992136,0.0021533295107756256
2025Q3,0.03454423338672485,0.0038740954504499943,0.11941206245230411,0.002573569326735501
2025Q4,0.03822772859233621,0.0032642302430000575,0.14145978665041936,0.0023488482794781426
