date,mwh_gross_park,cr,mwh_delivered,p_market,cf,p_wind_merchant,eeg_on,strike_cod_fixed,p_wind_realised,revenue_eur,eeg_premium_eur,strike_source
2026-06-01,9098.52,0.0341915579350541,8787.427426296752,39.17433840003221,0.8774399093354863,34.37312793400192,1,51.14574865619333,51.14574865619333,449439.5544799135,147388.187345058,from_series_asof
2026-07-01,8785.44,0.0327939168512234,8497.331011138589,46.79436025343941,0.8501511869876742,39.78228091379036,1,51.14574865619333,51.14574865619333,434602.3561441714,96559.14684159374,from_series_asof
2026-08-01,9311.53,0.0327939168512234,9006.16845942233,54.5263014655435,0.8715160015609547,47.52054423315769,1,51.14574865619333,51.14574865619333,460627.22838095034,32649.201733701844,from_series_asof
2026-09-01,9634.33,0.0327939168512234,9318.382583062754,55.389489699997256,0.8572413748189331,47.482162300944786,1,51.14574865619333,51.14574865619333,476595.6534755771,34138.69928429435,from_series_asof
2026-10-01,11056.94,0.0373745950939375,10643.69134452204,45.62275007189419,0.8088482236576238,36.90188035402734,1,51.14574865619333,51.14574865619333,544379.5622810246,151607.33776027596,from_series_asof
2026-11-01,11947.98,0.0373745950939375,11501.429085309537,54.667081420068826,0.826119001294311,45.16151470642205,1,51.14574865619333,51.14574865619333,588249.2011842731,68827.24240319617,from_series_asof
2026-12-01,14068.67,0.0373745950939375,13542.859155239774,55.9591260499198,0.7421164148082282,41.528185999968215,1,51.14574865619333,51.14574865619333,692659.6704401202,130249.29646995041,from_series_asof
2027-01-01,14500.96,0.0379370898489596,13950.83577758383,47.77805957013297,0.8028936777033087,38.36070196179182,1,51.14574865619333,51.14574865619333,713525.9402241319,178362.08684233646,from_series_asof
2027-02-01,11815.79,0.0379370898489596,11367.533313133563,42.94185981096632,0.8323926685443391,35.744489280307164,1,51.14574865619333,51.14574865619333,581401.0016744338,175074.32901959657,from_series_asof
2027-03-01,11912.61,0.0379370898489596,11460.680244094387,43.3108854302921,0.813530882402419,35.23474284173561,1,51.14574865619333,51.14574865619333,586165.0711934519,182350.95000142648,from_series_asof
2027-04-01,10573.43,0.0342315472154306,10211.485131725949,36.57096983074101,0.8399136329057572,30.71645612942452,1,51.14574865619333,51.14574865619333,522274.0519537106,208613.4168887797,from_series_asof
2027-05-01,10346.92,0.0342315472154306,9992.728919485717,35.03881271384006,0.8561814540670567,29.999581618118857,1,51.14574865619333,51.14574865619333,511085.6017054908,211307.9148976424,from_series_asof
2027-06-01,8824.51,0.0342315472154306,8522.43336928196,42.00597831031092,0.8755492266506828,36.77830182429808,1,51.14574865619333,51.14574865619333,435886.23504445,122445.6083115284,from_series_asof
2027-07-01,8517.88,0.032826952693372,8238.26395619218,49.673480418633176,0.8483792811315463,42.14195160886195,1,51.14574865619333,51.14574865619333,421352.1776667821,74175.65668389965,from_series_asof
2027-08-01,9136.23,0.032826952693372,8836.315409994233,57.45570175841328,0.869717063381894,49.97020420787312,1,51.14574865619333,51.14574865619333,451939.9670064129,10387.48152382504,from_series_asof
2027-09-01,9520.95,0.032826952693372,9208.40622475404,58.29254150962663,0.8554767990627234,49.867916819886325,1,51.14574865619333,51.14574865619333,470970.8302953962,11766.794635638278,from_series_asof
2027-10-01,11555.94,0.0374304203800796,11123.396307913023,48.383173167497375,0.8071845770456438,39.05415116933251,1,51.14574865619333,51.14574865619333,568914.4317677483,134499.63084211794,from_series_asof
2027-11-01,12022.43,0.0374304203800796,11572.42539110992,57.49946289758413,0.8244202141735054,47.40371951688784,1,51.14574865619333,51.14574865619333,591880.3603962577,43304.353025972014,from_series_asof
2027-12-01,12974.65,0.0374304203800796,12489.0033962156,58.77885059214668,0.7405904638316432,43.531056223528765,1,51.14574865619333,51.14574865619333,638759.4286691879,95099.91965268494,from_series_asof
2028-01-01,13930.04,0.03799571361647,13400.758189494029,50.483959421399845,0.8012427856797019,40.44990827894344,1,51.14574865619333,51.14574865619333,685391.8101622859,143332.37052895234,from_series_asof
2028-02-01,13428.58,0.03799571361647,12918.351520044143,45.57389601527561,0.8306811302292898,37.85737545092127,1,51.14574865619333,51.14574865619333,660718.7598965308,171663.87619524015,from_series_asof
2028-03-01,13191.98,0.03799571361647,12690.7413058858,45.92782321017441,0.8118581295370708,37.28687664512147,1,51.14574865619333,51.14574865619333,649077.4650916058,175879.35948389425,from_series_asof
2028-04-01,10940.09,0.0342717354474508,10565.154129748698,39.0985966704842,0.8381866335052264,32.771921118011804,1,51.14574865619333,51.14574865619333,540362.7176340698,194122.31989430886,from_series_asof
2028-05-01,10326.61,0.0342717354474508,9972.699154011001,37.53493168075448,0.854421005583623,32.07063407118283,1,51.14574865619333,51.14574865619333,510061.1643548785,190230.37908459708,from_series_asof
2028-06-01,9601.42,0.0342717354474508,9272.362673840138,44.5619694917919,0.8737489549343262,38.9359742732685,1,51.14574865619333,51.14574865619333,474241.9307652964,113213.45624424168,from_series_asof
2028-07-01,8748.0,0.0328601528929441,8460.539382492525,52.29725774059088,0.8466348752622951,44.276682283765254,1,51.14574865619333,51.14574865619333,432720.6207527878,58116.00656488277,from_series_asof
2028-08-01,9028.79,0.0328601528929441,8732.102580161716,60.14893487070765,0.8679287835646984,52.20499187504556,1,51.14574865619333,52.20499187504556,455859.3442494067,0.0,from_series_asof
2028-09-01,10052.88,0.0328601528929441,9722.54082618558,60.983326230568366,0.8537177995477595,52.06255107866399,1,51.14574865619333,52.06255107866399,506180.27837768267,0.0,from_series_asof
2028-10-01,11453.29,0.0374865234039637,11023.945976362616,50.960967239780445,0.8055248741983562,41.05032672485069,1,51.14574865619333,51.14574865619333,563827.9701064961,111291.38597970756,from_series_asof
2028-11-01,12543.05,0.0374865234039637,12072.854662617912,60.16270345518876,0.8227250720515551,49.49736453498652,1,51.14574865619333,51.14574865619333,617475.1901370074,19900.701923496967,from_series_asof
2028-12-01,14062.85,0.0374865234039637,13535.682644348568,61.44697960060353,0.7390676893184154,45.41347722901386,1,51.14574865619333,51.14574865619333,692292.6224178501,77590.20686956834,from_series_asof
2029-01-01,14165.43,0.0380546290445153,13626.369816093953,53.0592478400047,0.7995953001225402,42.4259252009048,1,51.14574865619333,51.14574865619333,696930.8857102806,118819.53913281165,from_series_asof
2029-02-01,12413.74,0.0380546290445153,11941.339729244939,48.09220476406074,0.8289731146451039,39.867144773413536,1,51.14574865619333,51.14574865619333,610748.7604101773,134681.64063585454,from_series_asof
2029-03-01,12142.06,0.0380546290445153,11679.998410863753,48.44386627275534,0.8101888171054592,39.2486787115387,1,51.14574865619333,51.14574865619333,597382.263026775,138957.75804750095,from_series_asof
2029-04-01,10823.7,0.0343121236209238,10452.315867564208,41.53957899681996,0.836463185384902,34.7463285672278,1,51.14574865619333,51.14574865619333,534591.5202375803,171411.91881474562,from_series_asof
2029-05-01,9464.78,0.0343121236209238,9140.023298595153,39.955277520734455,0.8526641769524143,34.068433822122344,1,51.14574865619333,51.14574865619333,467473.33434169873,156087.05546085341,from_series_asof
2029-06-01,8866.75,0.0343121236209238,8562.512977884173,47.04955840776592,0.8719523848939292,41.02497466185771,1,51.14574865619333,51.14574865619333,437936.1366322574,86659.25867273133,from_series_asof
2029-07-01,8514.31,0.0328935182676385,8234.244388478663,54.85945373180962,0.8448940561820982,46.35042638340278,1,51.14574865619333,51.14574865619333,421146.5938668,39485.85551567233,from_series_asof
