sim,project_year,revenue_eur,eeg_premium_eur,mwh_delivered,mwh_gross_park,avg_p_market,avg_p_realised,avg_cf,avg_cr
1,1,12067624.1253637,3034110.5589389727,129685.36032963285,144000.0,84.90118387139441,93.05473548989936,0.8217290306580795,0.09940721993310518
1,2,13938515.219805608,3053144.4162028693,127833.78291486915,144000.0,99.81937135183544,108.98035764344792,0.8547995706670058,0.11226539642451967
1,3,12323378.911130229,3024048.932328219,130777.91078007579,144000.0,86.65603134226247,94.24886307261416,0.8252388515652345,0.09182006402725147
1,4,17158021.624934692,3897409.1974877263,129745.97156611858,144000.0,121.94922083180843,132.15234440377478,0.8373972950418883,0.098986308568621
1,5,12709458.363622192,2821566.1625261493,123906.88736946374,144000.0,95.54652694187162,103.22012579745162,0.8391274801586176,0.139535504378724
1,6,14090072.479917318,3297463.5965110282,129664.44210503464,144000.0,100.68595462629487,108.43065687314736,0.8176545377478663,0.09955248538170397
1,7,11950146.499723276,3089308.322067435,129437.85450409699,144000.0,86.06054572295436,92.40674369917205,0.8003059389728353,0.10112601038821534
1,8,13273662.614490017,3397939.206964633,124411.2775449158,144000.0,99.67157547440299,106.72409551864907,0.799196275345237,0.13603279482697364
1,9,13654224.790027931,3186876.363953715,125008.03869510657,144000.0,102.73310119579016,109.70626521997156,0.8176266655120735,0.13188862017287104
1,10,15037137.01150884,3828435.5128134694,130745.25782082556,144000.0,107.63894189785019,114.65306514157294,0.7913493073070721,0.09204682068871144
1,11,15457549.786916912,3889804.948327938,131275.36703614914,144000.0,110.7420121001292,117.67792951332386,0.7959348281630119,0.08836550669340877
1,12,19239977.25909611,4878709.998399665,132545.9057824927,144000.0,136.90726415948686,145.15186704783875,0.7934210777151017,0.07954232095491202
1,13,20235619.042132203,5061004.003488952,130866.93717062967,144000.0,145.7811197155916,154.23019864989024,0.7976297366523112,0.09120182520396068
1,14,16866474.47288721,3984140.5833634217,124544.49822454114,144000.0,127.38006277399195,134.50160759479357,0.8087929329955044,0.13510765121846433
1,15,18090198.492622823,3918260.408847739,133966.48070173143,144000.0,128.10446337224448,135.00251814550083,0.8256057610019808,0.06967721734908734
1,16,16757000.799449578,3456403.2493977905,132875.6864547508,144000.0,119.87048524333089,126.09987175951711,0.8342232906603059,0.07725217739756392
1,17,19392684.42849704,4130240.5372648686,131948.97835558653,144000.0,139.68567705195062,146.6892424407962,0.8293341829975166,0.08368765030842674
1,18,20177412.35548596,4607482.119372791,126876.09113006855,144000.0,151.66087534801838,159.0134479416068,0.8056617466770026,0.11891603381896838
1,19,19529544.331361268,4799530.247862507,132397.5374363184,144000.0,140.798552665075,147.39938316224462,0.7918187769800328,0.0805726566922333
1,20,24210671.394446492,6274475.801068592,127316.39243586405,144000.0,179.54533635212363,187.67737628808638,0.769060642569071,0.11585838586205517
1,21,21449882.41162606,4659534.987314639,132829.73533284393,144000.0,155.0772957781293,161.89913961864093,0.8180754069008742,0.07757128241080602
1,22,23726459.155033432,5906928.093387222,127740.63836466215,144000.0,180.2256352993222,187.91174426053269,0.7815095352335715,0.11291223357873503
1,23,20947639.092213742,4613100.431513368,135040.27458360777,144000.0,148.9707004948387,155.12811533980263,0.8126895847406415,0.06222031539161272
1,24,21609516.297805432,4566613.485767996,133489.83824579223,144000.0,155.3927608651449,161.62727350283643,0.8231553488142067,0.07298723440422066
1,25,33663468.85828316,7659346.78657927,133514.1510031695,144000.0,242.905882599282,252.38033384895405,0.8071168674754333,0.07281839581132292
