TSO,RMSE,MAE,R2_within_tso
50Hertz,0.01821139266340715,0.01310825711894571,0.019543227403989394
Amprion,0.002704979229174487,0.0018467107589696231,0.016837327506140087
TenneT,0.03689044086284175,0.022351507620580583,0.08089859227946661
TransnetBW,0.003303795485827507,0.002142539284638201,0.03626645575538978
