month,market_price_eur_mwh,wind_capture_price_eur_mwh,wind_mwh,capture_factor,capture_factor_pred,merchant_price_pred_eur_mwh,strike_eur_mwh,eeg_supported_price_pred_eur_mwh,premium_pred_eur_mwh
2017-05-01,30.460510752688172,26.509844791313796,4963043.75,0.8703020447211074,0.8833168432429921,26.906282201633733,58.18198836539946,58.18198836539946,31.27570616376573
2017-06-01,30.00161111111111,25.710404044692737,6153125.0,0.85696744583063,0.8545306892298073,25.637297420782424,58.18198836539946,58.18198836539946,32.54469094461704
2017-07-01,33.009112903225805,29.58856945437381,5011439.25,0.8963757838970061,0.8625485452926202,28.471962316077274,58.18198836539946,58.18198836539946,29.710026049322188
2017-08-01,30.848387096774193,27.304136068103567,4804535.25,0.8851074120163239,0.8697868770466246,26.831522274828615,46.38126336720261,46.38126336720261,19.549741092373992
2017-09-01,34.34861111111111,28.30407949463576,5904335.5,0.8240239875515648,0.8543184588844219,29.344652509264776,46.38126336720261,46.38126336720261,17.03661085793783
2017-10-01,28.401478494623657,20.19568188063063,11014475.5,0.7110785406630726,0.793863548154636,22.546898490579526,46.38126336720261,46.38126336720261,23.83436487662308
2017-11-01,40.366625,31.41137637843338,9256318.75,0.7781521585823284,0.8368476254409098,33.78071427831367,40.21597779874906,40.21597779874906,6.435263520435392
2017-12-01,30.765725806451613,22.67048302152572,13454183.0,0.7368746365402401,0.7348020705343132,22.606719024071598,40.21597779874906,40.21597779874906,17.60925877467746
2018-01-01,29.46159946236559,22.57490517519314,13144978.0,0.7662484585750495,0.8053901416257628,23.728081763516123,40.21597779874906,40.21597779874906,16.487896035232936
2018-02-01,40.11510416666666,36.11599067411585,6859993.0,0.9003090338258714,0.9054794362770244,36.323401907027446,49.04926605115101,49.04926605115101,12.725864144123562
2018-03-01,37.36347240915209,30.447212206807663,9588788.75,0.8148924669900246,0.8165487840511836,30.509097963623084,49.04926605115101,49.04926605115101,18.540168087527924
2018-04-01,32.056263888888886,29.461108525487095,8002044.25,0.9190437359638375,0.8483640094316243,27.195380560175966,49.04926605115101,49.04926605115101,21.853885490975042
2018-05-01,33.54216397849462,28.332757339137586,6270346.75,0.8446908004296617,0.873985536830494,29.31536619120108,54.78163339623266,54.78163339623266,25.466267205031578
2018-06-01,42.42323611111111,37.810042362424966,5135329.25,0.891257853677082,0.8649998580066698,36.696093212294535,54.78163339623266,54.78163339623266,18.08554018393812
2018-07-01,49.54345430107527,47.09465741665316,4064678.75,0.9505727463099205,0.8724127798897214,43.22234269214045,54.78163339623266,54.78163339623266,11.559290704092206
2018-08-01,56.189408602150536,52.6157636997553,5343261.5,0.9364000264231565,0.86700074849786,48.716259315716606,61.14684871577759,61.14684871577759,12.430589400060981
2018-09-01,54.832138888888885,48.39335311096667,6545188.25,0.8825727774185559,0.850662623950315,46.64365114403033,61.14684871577759,61.14684871577759,14.503197571747258
2018-10-01,53.12668010752688,43.82701303175583,8733167.0,0.8249529792385146,0.81509275577192,43.30317209385733,61.72408909488863,61.72408909488863,18.420917001031306
2018-11-01,56.676013888888896,52.21103189269064,8035869.5,0.9212191950381042,0.8490425856916988,48.120349378920864,61.72408909488863,61.72408909488863,13.60373971596777
2018-12-01,48.13212365591398,39.92149971612446,12092006.75,0.8294148831145396,0.7482039739083405,36.01264619200248,61.72408909488863,61.72408909488863,25.711442902886155
2019-01-01,49.393373655913976,39.08921854109886,12551354.25,0.7913858813006717,0.8122470736483707,40.11962320963665,61.72408909488863,61.72408909488863,21.604465885251983
2019-02-01,42.82078869047619,38.44359873393981,8914979.0,0.8977788571766797,0.8897808825848111,38.10111915398961,60.41094535333106,60.41094535333106,22.30982619934145
2019-03-01,30.626958277254378,24.707839510740687,13736642.0,0.8067350106096033,0.7830274320549196,23.98174849149166,60.41094535333106,60.41094535333106,36.4291968618394
2019-04-01,36.95590277777778,34.07098463839104,7303645.75,0.9219362017284695,0.8561132002616683,31.63843619564241,60.41094535333106,60.41094535333106,28.77250915768865
2019-05-01,37.84356182795699,35.91886379608788,6428337.75,0.9491406744264954,0.8744417389015966,33.091990011068795,61.15970640086792,61.15970640086792,28.067716389799124
2019-06-01,32.517583333333334,24.316790463689173,5114514.5,0.7478043560132084,0.8669787647872347,28.192054232199304,61.15970640086792,61.15970640086792,32.967652168668614
2019-07-01,39.68502688172043,36.552468348137324,4862707.5,0.9210644724288692,0.8674184385853527,34.423524052959685,61.15970640086792,61.15970640086792,26.736182347908233
2019-08-01,36.84849462365591,30.70372007211256,4493530.5,0.8332421822301923,0.8760386826174499,32.28070668654371,61.979268547544415,61.979268547544415,29.698561861000705
2019-09-01,35.75070833333333,30.893156016402543,7145538.75,0.8641271028355628,0.8473517050315982,30.29342366233736,61.95088120973324,61.95088120973324,31.65745754739588
2019-10-01,36.999556451612904,32.41795380409212,9341217.0,0.8761714169867824,0.8117162681289842,30.03314188533091,61.99803988827363,61.99803988827363,31.96489800294272
2019-11-01,41.00120833333333,37.09034810945485,7880445.25,0.9046159763857736,0.8521678231668212,34.939910452625995,61.99803988827363,61.99803988827363,27.058129435647636
2019-12-01,31.966142473118282,26.528432969173803,12208935.0,0.8298915951927173,0.7490098651969792,23.942956064657757,61.10253703487694,61.10253703487694,37.15958097021918
2020-01-01,35.0349059139785,31.153646883298517,12670559.0,0.8892173696652799,0.8130335783274005,28.484554921605746,61.10253703487694,61.10253703487694,32.6179821132712
2020-02-01,21.919008620689652,17.56525062735163,17239833.25,0.801370670148446,0.8206883082194181,17.98867410276063,61.763773620738775,61.763773620738775,43.77509951797815
2020-03-01,22.485827725437417,18.37828697101015,11552708.75,0.8173275716339073,0.8034273947974719,18.06572998931295,60.80221878224975,60.80221878224975,42.736488792936804
2020-04-01,17.093125,11.21648798629588,6991474.0,0.6561987925727963,0.8605732950131727,14.709886903322039,60.80221878224975,60.80221878224975,46.092331878927716
2020-05-01,17.596505376344084,13.054323900395923,6132951.75,0.7418702532802646,0.8787588866808875,15.463085473990379,60.80221878224975,60.80221878224975,45.33913330825938
2020-06-01,26.18488888888889,22.230366672024797,4983084.0,0.8489769334655407,0.8698996721660226,22.778226260148173,61.35732158514938,61.35732158514938,38.579095325001205
2020-07-01,30.062862903225806,21.781228919400714,5480898.5,0.7245227771392173,0.8639555904732561,25.972978470873,60.84980371630464,60.84980371630464,34.87682524543165
