date,price_hist_eur_mwh,price_low_p10,price_low_p50,price_low_p90,price_base_p10,price_base_p50,price_base_p90,price_high_p10,price_high_p50,price_high_p90
2024-06-01,59.86891685541695,,,,,,,,,
2024-07-01,53.90338257560721,,,,,,,,,
2024-08-01,66.96080337876424,,,,,,,,,
2024-09-01,65.25998954459904,,,,,,,,,
2024-10-01,69.77202217642042,,,,,,,,,
2024-11-01,91.0836602418994,,,,,,,,,
2024-12-01,73.53780163023332,,,,,,,,,
2025-01-01,87.02989625428845,,,,,,,,,
2025-02-01,116.18345749101522,,,,,,,,,
2025-03-01,80.15638902297033,,,,,,,,,
2025-04-01,77.5922316952408,,,,,,,,,
2025-05-01,65.52935721298434,,,,,,,,,
2025-06-01,56.93965257472982,,,,,,,,,
2025-07-01,82.99608221490976,,,,,,,,,
2025-08-01,70.6828803499261,,,,,,,,,
2025-09-01,66.24162889681395,,,,,,,,,
2025-10-01,59.0294924146687,,,,,,,,,
2025-11-01,89.51923844056333,,,,,,,,,
2025-12-01,83.72602012726502,,,,,,,,,
2026-01-01,,39.15975543208538,79.8532390363519,180.19716686550274,40.54653999309359,83.12550312853125,180.93453499213757,38.43704338216796,77.15485051006121,176.28387290631755
2026-02-01,,26.903155575546833,73.48078575857383,225.51141913853687,26.395380357371852,79.19881525571023,251.47355116205028,27.7557604115869,73.42451428907239,223.4317909880371
2026-03-01,,19.954485390867422,70.30868652444406,316.93125500005027,17.793464104727377,85.67453560276115,334.51497301073147,21.101017003626342,74.42382850921655,298.6914230330222
2026-04-01,,15.209596551564085,73.14866272904757,382.1593362829455,14.917806013538387,82.63278048902401,363.93819115628077,15.554439537748637,81.94664151166626,435.32823224946077
2026-05-01,,14.311249119867064,74.54829375257606,383.20009983960983,15.855399884711877,82.53083953792574,396.99005915263473,14.75301437423911,81.15092429302801,516.1862214619958
2026-06-01,,13.233285950319019,80.40785222798864,418.2015607063128,13.556768965223924,84.63150044991652,489.87641725951624,14.709597447029184,76.77316176426791,532.8787142852933
2026-07-01,,11.855361183554416,83.18990367130206,522.8411250493135,11.72181148799256,81.57726015553118,442.0645539114002,12.908345339571069,82.03783383610707,563.0977327106592
2026-08-01,,12.809552891000328,83.37983433415233,571.0855884469029,10.052812031637817,82.12579640173813,530.6628607469084,10.352635752473457,89.8543301676142,597.4493433586683
2026-09-01,,11.282269219000494,92.15886182965272,587.2292088521094,8.061182187813715,84.16470486764652,706.7544272847985,8.354659079226778,90.20493231892586,716.1221269110182
2026-10-01,,9.553533986259014,96.31168392261534,597.4582102663092,8.871615881524955,94.18998224497288,662.1563270005755,9.287945027611283,82.59535458632593,744.7471110761293
2026-11-01,,9.934618736770627,85.16832248367128,608.3428427842995,9.04049680170093,95.35532359642394,663.1920797211258,10.286610192543444,80.82721340776473,623.7527716533493
2026-12-01,,9.772817800684187,73.23155376677556,612.1835887189742,10.312295759485202,84.26599424543468,714.3778890778157,9.315708044607518,90.61368561273324,684.637296729445
2027-01-01,,10.538260185618096,77.79839947244707,532.6968833990779,10.88747549385614,76.98059736810026,662.74572967356,10.86131337863207,89.36231013639896,645.900762507102
2027-02-01,,11.223763830622183,67.40382075644119,542.9532561862835,10.244628145493648,76.91751108992379,622.5638730455232,8.629873454863043,83.31175997343817,595.0997341254302
2027-03-01,,9.487713679100828,70.95740439375273,585.1073174873158,8.082334673078783,69.29709928564539,715.1862739192346,10.45941361940808,88.69160521607606,702.5533442275763
2027-04-01,,8.690030877944789,73.40164314662434,569.0049125382402,7.933280335924086,67.66456165535712,653.5850849249504,10.067655896161215,94.73137131027673,684.1148414277764
2027-05-01,,9.057468467135097,76.36183395304452,628.3951873670117,7.216557991651541,71.54792042758923,614.0892691642715,9.775002929409592,95.13669006676125,707.3665854056394
2027-06-01,,8.430702998195251,77.41863974965946,606.4978807071362,8.517448549155027,75.33362080016394,654.6347321531974,8.450981365714176,91.77713597741408,680.9619929469702
2027-07-01,,8.717628173455438,84.78641300467422,743.0173377060245,8.179114698351002,82.42023204039273,622.0549472195298,8.592755262487747,89.44067841085896,653.9214098774816
2027-08-01,,8.025824015692903,92.801727542435,838.3867098793378,7.56626004825218,87.76240691481209,621.1858564664825,9.21374431813106,88.59695384062357,725.4010466397032
2027-09-01,,7.532367657339578,83.34166638022677,993.7926455088473,8.05222759139957,89.69336467594525,704.4812256946925,9.21826213905322,91.71684652210271,927.341930601136
2027-10-01,,7.735092661340567,86.94527984233898,878.6451418712176,9.374720184819662,85.6836380765432,599.5820583993924,9.841654481939596,91.2907642885742,765.3645335505
2027-11-01,,9.599921440594926,81.44852820137538,812.1592900842242,9.451680113500739,87.23838361379649,548.8622872983909,9.49049548993563,85.41649621015597,802.1789278709124
2027-12-01,,8.102607063903903,76.86015240627887,670.5859393528242,10.54150896910115,86.99451429250311,574.4492031451387,10.078678194057519,90.60409778450335,590.8302502025192
2028-01-01,,8.849645874643091,76.32514085623183,607.0922075410645,10.871950981870743,81.44309870287212,536.1535390121642,10.93001983925973,99.33746147232016,614.8538279704701
2028-02-01,,9.32698683968018,80.09436190387925,609.0648550444809,11.577164986049286,84.99995463820363,588.5127869154474,10.52961484627259,90.05780597784191,593.021114623065
2028-03-01,,8.640343185271565,72.94430596222801,599.6575006186847,11.72916115884118,90.68979828493596,581.5146246603576,11.191365794775592,98.29117672468305,650.9065798641252
2028-04-01,,9.606203527988106,76.30409875664026,597.1981018423584,8.763276102047659,82.66518408062794,666.136664973842,12.45614512602169,89.78413876543055,701.8474897143808
2028-05-01,,8.225227427725228,71.98148096346455,608.3972010380562,9.62340033073151,86.23904853464309,634.5117157097342,12.880486363152894,94.04089599534801,653.3022451199611
2028-06-01,,9.085769524820288,73.83055325480484,548.2833947468256,9.853392704632007,86.52889678406247,722.5748785076707,12.457441392553331,96.90551994221174,769.4306136029005
2028-07-01,,9.624026428450689,69.6633497619436,576.0264801521965,9.157362831456375,97.85311398973977,826.8220466187236,11.736185169420331,97.24265024885315,773.3003958966245
2028-08-01,,11.158434550119344,65.28483144864938,742.7183916245201,9.212094730888488,89.33607059209399,1006.298604400096,9.304692085021257,95.18234235017235,849.5104055342586
2028-09-01,,10.556119596483727,77.87628420996194,796.8578893413272,8.963187633735128,79.27850728742223,909.5197596745838,10.628227737527991,98.0520805610733,1041.5484790051762
2028-10-01,,10.275532568187373,81.69536574086968,723.6293972243175,10.045194062302373,85.50377081282981,786.7268027931942,12.198979107102174,103.45058643795133,867.5938338887024
2028-11-01,,11.815174678792117,79.18265763566622,657.9789005911048,8.872619854484672,98.08342956504438,715.9021731436521,11.770102661827025,96.53252875300711,879.9073883513057
2028-12-01,,9.790725844028868,80.34023614395184,558.4543740431479,8.66128390541588,101.69429126004798,743.0387754299715,8.89180561486288,102.53313848655367,890.9751030400374
2029-01-01,,10.79189810904965,72.6345967249668,616.2466475970638,8.767616115410089,97.46931022725298,759.160910879602,8.517176634235996,93.29553638581817,796.7853764834047
2029-02-01,,10.844113340014555,76.7920505785226,511.4873299790694,10.671431916186457,93.40859059902058,715.1905571144382,9.894390115861977,86.59794937099454,857.1214684281091
2029-03-01,,9.563949084469655,79.51936800401225,585.1759491087927,9.702549696739306,89.56527303521331,804.2701292886051,10.94917276120472,93.484071610825,811.6157571332902
2029-04-01,,7.630085516443653,80.96550763377874,576.5528540808947,9.081424457934476,91.13260982990938,736.5406201351651,9.13063231558208,103.82943725227877,755.1501132035693
2029-05-01,,9.480091290961372,76.5976314932565,587.592931500322,7.666820615627888,87.69596977766932,807.6718360797903,8.665502122830594,109.07745837842907,798.4141215791653
2029-06-01,,8.020031693784594,79.47730548790071,637.726028048138,8.272361440162388,84.83260619038914,752.3276591128763,9.897052264262197,95.73488256496896,910.10913423132
2029-07-01,,7.217679768760796,76.86510673828175,640.4115928567977,8.984192415338407,95.89992974164319,759.6814274852076,11.1440979707446,97.38853355530128,903.0169977101674
2029-08-01,,7.6901422809761,71.13471397435514,615.8818134378981,8.982364685654932,89.2777631936716,887.7376758964656,9.166903696861258,103.58251010207752,1017.2219446021777
2029-09-01,,7.63733797016832,73.47406569862662,756.6932183436766,9.085613002992693,93.94687267224332,859.6673316571005,9.622079854486882,104.33146507569724,1079.4016526310434
2029-10-01,,8.772473472937621,81.19333969241231,663.4977730349337,8.457534489391247,97.37855123134312,809.6452473785396,11.760646936018302,108.26497686817206,1154.1404227525409
2029-11-01,,9.392134089196597,78.5806031439071,620.2715830116065,10.089816701015188,89.35202297442407,693.4350814071151,12.688025490936802,112.82802989835285,962.8607253548919
2029-12-01,,8.874713073413965,81.31016670660193,622.0734518382858,10.21987924933071,91.12458794943515,714.2035350151125,12.587261707937024,115.05212944412924,895.3607023121589
2030-01-01,,9.002479242841822,74.17751437002264,575.5039204033187,9.268010257402395,88.4304332993411,601.8703461984493,12.730557435810592,107.6529317190861,979.7960797677702
2030-02-01,,9.803174451994943,75.81330954450506,589.6210286469686,9.794420604958958,86.98313653879308,606.5841080616931,12.741199021065832,101.74516887660025,927.7874221157491
2030-03-01,,8.093737021665882,67.8652143842545,701.6855283928916,11.129610363342723,85.70963542479994,683.959072845273,13.05353269395317,96.20979145092784,1018.2149310494113
2030-04-01,,7.3865985211015195,74.26589695440782,807.3652180487604,11.051124121643717,85.59474431326683,821.91043913747,11.01630464882687,92.75759509542247,1000.6716649405805
2030-05-01,,7.796978218630544,79.98022786928283,770.963540375057,10.588681778530274,83.37479925299067,800.4506083539706,12.370966731290114,95.69943109299211,871.8063355392486
2030-06-01,,8.204128180091974,78.07160181669133,755.790749117153,11.615923805364227,85.66265700347958,834.1130192550371,12.25230959333543,100.83081420811234,991.2555584495049
2030-07-01,,7.54547573555901,69.1493162602802,687.157278271012,10.014656547860527,78.81630580376662,712.9655298901624,9.526795064889376,89.95170290964478,921.5268490977675
2030-08-01,,5.7431056467513875,64.7721879886798,775.8152512750474,10.645648149725812,90.3807577266738,978.5249307180518,9.979437666559637,89.15828546268142,1136.6940874093157
2030-09-01,,6.254810898288781,71.86920826344709,890.5807747423108,9.170850168202822,89.03772459065235,935.5384162249719,8.785327546113052,90.88947832595625,1054.299550005224
2030-10-01,,6.74775312067173,70.1984689963956,771.5155174872557,11.739194768751394,92.00407901270313,886.9217251408195,9.4153412915837,100.4465705378045,831.9908071522913
2030-11-01,,7.6920397879401445,76.23993210569716,670.6738753793377,11.796181852013573,92.53794805413867,754.2458906505391,11.17639519293682,92.48604708709206,901.3315257256618
2030-12-01,,6.7248443364572505,74.03288086800953,663.9930205464074,8.511784063965303,93.46741711497833,760.0980661011295,11.379425146247629,81.52156241916848,908.2116024270606
2031-01-01,,7.519770746697454,80.18006255402145,574.2490144061493,9.585418174008849,94.4256725491154,653.660092117628,12.468426287421227,90.5516896845472,876.9761233779527
2031-02-01,,8.337242786583369,82.2476816893611,652.1345449218372,10.39462844218169,97.14270205796018,625.0274716847088,12.248982034654459,86.08231392057813,780.7423357500772
