quarter,TSO,cr,prod_mwh,curt_mwh,wind_mwh,load_mwh,ExportStress,S,pred
2015Q1,TenneT,0.095300352074435,8194858.75,863240.0,8194858.75,39550196.25,11682.3,0.20720146869056308,0.10601967813658533
2015Q2,TenneT,0.0923222355159137,5428926.0,552190.0,5428926.0,35160349.5,9883.55,0.15440477916751083,0.09536727080099236
2015Q3,TenneT,0.08906269152732,5464026.75,534220.0,5464026.75,37405821.0,9846.800000000001,0.14607423668097005,0.09404019509485313
2015Q4,TenneT,0.1376137133917989,9454346.25,1508660.0,9454346.25,39694844.75,11915.7,0.2381756701542459,0.11109246952552994
2016Q1,TenneT,0.1140390831474133,9088086.75,1169800.0,9088086.75,40481852.5,11583.7,0.22449779811830498,0.1085246228462903
2016Q2,TenneT,0.065002825919899,5783928.75,402110.0,5783928.75,36391372.75,9030.85,0.15893681147271368,0.09483982515870808
2016Q3,TenneT,0.0839741006156553,5023442.75,460510.0,5023442.75,36651207.0,10452.0,0.1370607726506797,0.09352770287398501
2016Q4,TenneT,0.2693268665746293,7883700.25,2905940.0,7883700.25,40038448.0,11948.6,0.19690324285296973,0.10482544112128993
2017Q1,TenneT,0.101032035523982,9546415.0,1072890.0,9546415.0,40074437.25,12203.599999999999,0.23821706941124918,0.11151098121451104
2017Q2,TenneT,0.135420940402189,7453511.0,1167460.0,7453511.0,36153634.75,10443.85,0.206162148053454,0.10408762268390558
2017Q3,TenneT,0.0496230681214075,6028640.75,314780.0,6028640.75,36179075.75,10399.400000000001,0.16663335436367524,0.09797660717280063
2017Q4,TenneT,0.1288924423832058,13156996.0,1946760.0,13156996.0,39625106.5,13162.5,0.3320368615286876,0.12723698648058393
2018Q1,TenneT,0.1268028912140319,11630541.25,1688950.0,11630541.25,40238206.0,13954.0,0.28904224134644574,0.12179255137364398
2018Q2,TenneT,0.0903980322287774,7801113.5,775290.0,7801113.5,35800568.0,11149.099999999999,0.21790474106444344,0.10689376880563486
2018Q3,TenneT,0.0861925070759862,6527082.25,615650.0,6527082.25,36513116.5,12035.85,0.17875993274909854,0.10217467020657615
2018Q4,TenneT,0.120725626380726,11807743.25,1621220.0,11807743.25,39283391.0,13997.8,0.30057851293947613,0.1236201541188455
2019Q1,TenneT,0.1630959400651077,13995837.0,2727510.0,13995837.0,39762190.0,14822.599999999999,0.35198858513577846,0.13266605129255826
2019Q2,TenneT,0.0757248899629744,8192464.25,671200.0,8192464.25,35567020.5,11238.85,0.23033878393046728,0.10892450386465546
2019Q3,TenneT,0.0924252777757863,7215897.0,734850.0,7215897.0,35851696.0,9983.3,0.2012707292843273,0.10267994471472001
2019Q4,TenneT,0.0991448454437061,11869281.5,1306290.0,11869281.5,38419274.25,13357.300000000001,0.3089408046275106,0.1239824876690962
2020Q1,TenneT,0.1263987966246904,16649725.75,2409000.0,16649725.75,39492025.75,8735.0,0.42159715623096394,0.1345997914394453
2020Q2,TenneT,0.0895865642520519,7652278.25,753000.0,7652278.25,32943607.25,6855.549999999997,0.23228416341686445,0.10294667632751159
2020Q3,TenneT,0.1038738016791836,6547943.5,759000.0,6547943.5,34989488.5,7683.65,0.1871403035800309,0.09722583541391241
2020Q4,TenneT,0.0909823250777832,11889463.5,1190000.0,11889463.5,38579153.0,10940.1,0.3081836322326724,0.12040601463475928
2015Q1,50Hertz,0.0294479784266248,8396098.5,254750.0,8396098.5,27193709.75,11682.3,0.30875149353243353,0.03234751546028894
2015Q2,50Hertz,0.0330115741350044,5115625.75,174640.0,5115625.75,24434279.0,9883.55,0.2093626642308537,0.029992882197407422
2015Q3,50Hertz,0.0496982803414298,5116318.5,267570.0,5116318.5,24740260.5,9846.800000000001,0.2068013188462587,0.029945952976167468
2015Q4,50Hertz,0.0567106957092363,8709226.25,523600.0,8709226.25,25992943.25,11915.7,0.3350611804994419,0.0326232753241964
2016Q1,50Hertz,0.0396841723419162,7965088.75,329150.0,7965088.75,27132628.5,11583.7,0.29356126517561687,0.03224006614910146
2016Q2,50Hertz,0.0262061649734199,4798336.5,129130.0,4798336.5,25112594.25,9030.85,0.19107291155313433,0.028812688731973006
2016Q3,50Hertz,0.0187841365942015,4313682.75,82580.0,4313682.75,24777801.25,10452.0,0.17409465458522072,0.03088499019989595
2016Q4,50Hertz,0.0968420425852169,7401934.0,793680.0,7401934.0,26914620.75,11948.6,0.27501535573374186,0.032803644127176734
2017Q1,50Hertz,0.0411283144968888,7744028.0,332160.0,7744028.0,27238363.0,12203.599999999999,0.28430592543318406,0.03314810063518851
2017Q2,50Hertz,0.0284762181729487,6627914.0,194270.0,6627914.0,24527231.0,10443.85,0.27022675327679674,0.03065996471406937
2017Q3,50Hertz,0.0201390713718262,5215786.25,107200.0,5215786.25,24427152.25,10399.400000000001,0.21352412252639888,0.03072217379831684
2017Q4,50Hertz,0.0281611496407486,11688162.75,338690.0,11688162.75,26779404.75,13162.5,0.43646088698069363,0.034183234657756426
2018Q1,50Hertz,0.0274868340907332,9202966.0,260110.0,9202966.0,28720650.5,13954.0,0.3204302771624201,0.03557392294910332
2018Q2,50Hertz,0.0247401960946966,6392749.75,162170.0,6392749.75,25513063.75,11149.099999999999,0.25056770181119464,0.03171328253307689
2018Q3,50Hertz,0.0188436313953283,5251611.5,100860.0,5251611.5,25758644.25,12035.85,0.20387763614538837,0.033086441820412975
2018Q4,50Hertz,0.0119330231761218,10264847.5,123970.0,10264847.5,26973891.75,13997.8,0.3805475159141617,0.03550320483412819
2019Q1,50Hertz,0.0377211955274262,12866117.0,504350.0,12866117.0,25875406.5,14822.599999999999,0.4972334251058046,0.03642507241440345
2019Q2,50Hertz,0.028003505063692,6566750.0,189190.0,6566750.0,22857378.0,11238.85,0.2872923569798776,0.03176026764685203
2019Q3,50Hertz,0.0188959178092466,5820917.5,112110.0,5820917.5,25058070.5,9983.3,0.2322971156139097,0.03008479025814275
2019Q4,50Hertz,0.020015040696809,9827738.25,200720.0,9827738.25,26823687.0,13357.300000000001,0.3663828261193176,0.034617656768594296
2020Q1,50Hertz,0.03622689605066,14179825.5,533000.0,14179825.5,27810841.75,8735.0,0.5098668219921823,0.027681591665095477
2020Q2,50Hertz,0.0260927879611273,6307885.5,169000.0,6307885.5,23600771.25,6855.549999999997,0.2672745493433822,0.02552925091318997
2020Q3,50Hertz,0.023614342558073,5044351.75,122000.0,5044351.75,24425860.25,7683.65,0.20651685133587055,0.02684966464567505
2020Q4,50Hertz,0.0165224698231933,9523782.25,160000.0,9523782.25,27302974.0,10940.1,0.34881849317953423,0.03119600360909501
2015Q1,Amprion,0.0045541750385832,3597806.0,16460.0,3597806.0,47908492.75,11682.3,0.07509745753794352,0.004877103237859253
2015Q2,Amprion,0.0043909375926906,2244743.75,9900.0,2244743.75,43195487.75,9883.55,0.051967088854089856,0.003157134242726254
2015Q3,Amprion,0.0047131825244258,2436911.75,11540.0,2436911.75,44782534.0,9846.800000000001,0.054416566735593835,0.0030139504240329494
2015Q4,Amprion,0.0006524281568595,3967195.75,2590.0,3967195.75,46709934.75,11915.7,0.08493259027727501,0.004847599448564183
2016Q1,Amprion,0.002492969903268,4453424.5,11130.0,4453424.5,47315799.0,11583.7,0.09412129973753587,0.00403253035056687
2016Q2,Amprion,0.0009612773559822,2255243.0,2170.0,2255243.0,43738849.5,9030.85,0.05156155284788641,0.0019513429297511172
2016Q3,Amprion,0.0041423434427569,1781432.5,7410.0,1781432.5,43869578.75,10452.0,0.04060746765205718,0.004390991874960257
2016Q4,Amprion,0.0126927748680535,3131623.25,40260.0,3131623.25,47729967.75,11948.6,0.06561125845302923,0.0056091112683332505
2017Q1,Amprion,0.001289273869082,4415393.25,5700.0,4415393.25,49689733.75,12203.599999999999,0.08885926562244863,0.005114588053185825
2017Q2,Amprion,0.0002922243157286,2531561.25,740.0,2531561.25,44880098.5,10443.85,0.056407212430694645,0.003795125254392103
2017Q3,Amprion,0.0043465064388055,2636593.75,11510.0,2636593.75,45007872.75,10399.400000000001,0.05858072352464159,0.003651121490270349
