date,market_price,markup_path,eeg_strike_eur_mwh,eeg_strike_used
2017-05-01,,,,58.18198836539946
2017-08-01,,,,46.38126336720261
2017-11-01,,,,40.21597779874906
2018-02-01,,,,49.04926605115101
2018-05-01,,,,54.78163339623266
2018-08-01,,,,61.14684871577759
2018-10-01,,,,61.72408909488863
2019-02-01,,,,60.41094535333106
2019-05-01,,,,61.15970640086792
2019-08-01,,,,61.979268547544415
2019-09-01,,,,61.95088120973324
2019-10-01,,,,61.99803988827363
2019-12-01,,,,61.10253703487694
2020-02-01,,,,61.763773620738775
2020-03-01,,,,60.80221878224975
2020-06-01,,,,61.35732158514938
2020-07-01,,,,60.84980371630464
2020-09-01,,,,61.91446287646964
2020-10-01,,,,61.14088042135379
2020-12-01,,,,59.82482879318216
2021-02-01,,,,59.96789092932666
2021-05-01,,,,58.775423415045765
2021-09-01,,,,58.09116808491973
2022-02-01,,,,57.39408816697126
2022-05-01,,,,58.46440558037364
2022-09-01,,,,58.40856262780524
2022-12-01,,,,58.652745629155376
2023-02-01,,,,73.44257057801043
2023-05-01,,,,73.4212445680079
2023-08-01,,,,73.23959569784614
2023-11-01,,,,73.10216951872873
2024-02-01,,,,73.35302733204787
2024-05-01,,,,73.26267336173912
2024-08-01,,,,73.26267336173912
2024-11-01,,,,71.9
2025-02-01,,,,70.0
2025-05-01,,,,68.7
2025-08-01,,,,66.2
2026-01-01,44.594443155319794,1.146908561635263,51.14574865619333,51.14574865619333
2026-02-01,39.8876563183496,1.1462991523499686,45.72318662695101,45.72318662695101
2026-03-01,40.31309723395208,1.1456926694210385,46.18641998259644,46.18641998259644
2026-04-01,33.71001488980778,1.1450890987962388,38.60097057057778,38.60097057057778
2026-05-01,32.24481358096807,1.1444884264908146,36.9038159577718,36.9038159577718
2026-06-01,39.17433840003221,1.1438906385871643,44.81115896864252,44.81115896864252
2026-07-01,46.79436025343941,1.1432957212345192,53.49979185566392,53.49979185566392
2026-08-01,54.5263014655435,1.14270366064862,62.30740428630677,62.30740428630677
2026-09-01,55.389489699997256,1.1421144431113999,63.26113618293699,63.26113618293699
2026-10-01,45.62275007189419,1.141528054970665,52.07964915198214,52.07964915198214
2026-11-01,54.667081420068826,1.140944482639779,62.3721049282471,62.3721049282471
2026-12-01,55.9591260499198,1.1403637125973476,63.81375673598949,63.81375673598949
2027-01-01,47.77805957013297,1.1397857313869062,54.456750571391176,54.456750571391176
2027-02-01,42.94185981096632,1.1392105256166072,48.9198186862056,48.9198186862056
2027-03-01,43.3108854302921,1.13863808195891,49.3154235142899,49.3154235142899
2027-04-01,36.57096983074101,1.1380683871502724,41.62026465179269,41.62026465179269
2027-05-01,35.03881271384006,1.137501427990843,39.85669949709678,39.85669949709678
2027-06-01,42.00597831031092,1.136937191344156,47.758158999788435,47.758158999788435
2027-07-01,49.673480418633176,1.1363756641368254,56.44773430071187,56.44773430071187
2027-08-01,57.45570175841328,1.1358168333582441,65.25915322961667,65.25915322961667
2027-09-01,58.29254150962663,1.1352606860602803,66.1772306664161,66.1772306664161
2027-10-01,48.383173167497375,1.1347072093569794,54.90073540472643,54.90073540472643
2027-11-01,57.49946289758413,1.1341563904242644,65.21338329125793,65.21338329125793
2027-12-01,58.77885059214668,1.1336082164996384,66.63218798766212,66.63218798766212
2028-01-01,50.483959421399845,1.1330626748818902,57.20149010064011,57.20149010064011
2028-02-01,45.57389601527561,1.1325197529307984,51.61333745531383,51.61333745531383
2028-03-01,45.92782321017441,1.1319794380668406,51.98935150908643,51.98935150908643
2028-04-01,39.0985966704842,1.1314417177708993,44.2377833792842,44.2377833792842
2028-05-01,37.53493168075448,1.1309065795839746,42.448501202000216,42.448501202000216
2028-06-01,44.5619694917919,1.130374011106893,50.371692197259804,50.371692197259804
2028-07-01,52.29725774059088,1.1298440000000218,59.0877428746613,59.0877428746613
2028-08-01,60.14893487070765,1.129316533982983,67.92718665095575,67.92718665095575
2028-09-01,60.983326230568366,1.1287916008343677,68.83746644000774,68.83746644000774
2028-10-01,50.960967239780445,1.1282691883914542,57.49768914727057,57.49768914727057
2028-11-01,60.16270345518876,1.1277492845499255,67.84844577817846,67.84844577817846
2028-12-01,61.44697960060353,1.1272318772635892,69.26499416736578,69.26499416736578
2029-01-01,53.0592478400047,1.1267169545440978,59.7827541366906,59.7827541366906
2029-02-01,48.09220476406074,1.1262045044606714,54.16165763473017,54.16165763473017
2029-03-01,48.44386627275534,1.1256945151398214,54.532994555407676,54.532994555407676
2029-04-01,41.53957899681996,1.125186974765075,46.7397932244467,46.7397932244467
2029-05-01,39.955277520734455,1.1246818715767015,44.93697630138614,44.93697630138614
2029-06-01,47.04955840776592,1.12417919387144,52.89213464284953,52.89213464284953
2029-07-01,54.85945373180962,1.1236789300022285,61.6444122698666,61.6444122698666
2029-08-01,62.7870634303689,1.1231810683779329,70.52124098403478,70.52124098403478
2029-09-01,63.62645827259104,1.1226855974630798,71.43250832022359,71.43250832022359
2029-10-01,53.499584625872416,1.1221925057775886,60.03683292936792,60.03683292936792
2029-11-01,62.79157282696548,1.1217017818965052,70.43341912809134,70.43341912809134
2029-12-01,64.08625073875174,1.121213414449738,71.85436401007789,71.85436401007789
2030-01-01,55.611587660874505,1.1207273921217937,62.32542961092441,62.32542961092441
2030-02-01,50.59244158904281,1.120243703651516,56.675864142482304,56.675864142482304
2030-03-01,50.94582749874303,1.1197623378318238,57.04721890276931,57.04721890276931
2030-04-01,43.97040779476527,1.1192832835094517,49.215342413774465,49.215342413774465
