date,wind_onshore_eur_mwh_calc,wind_onshore_mwh_sum,hours_used
2015-01-01,24.75444507978744,7830853.25,648.0
2015-02-01,31.908996693425546,5325677.75,672.0
2015-03-01,25.87484451608309,7010958.25,743.0
2015-04-01,25.95028883506745,5157796.5,720.0
2015-05-01,23.098153966193067,5105062.25,744.0
2015-06-01,28.117177490256605,3871212.5,720.0
2015-07-01,29.531053132654122,5401805.25,744.0
2015-08-01,29.690828553848664,3553163.75,744.0
2015-09-01,28.044042700633735,5328808.5,720.0
2015-10-01,36.654097927993064,3438960.5,744.0
2015-11-01,27.087840750399568,9763092.0,720.0
2015-12-01,23.880916257840422,10359892.25,744.0
2016-01-01,24.488559196044132,8406655.5,744.0
2016-02-01,18.640334943393363,9366679.75,696.0
2016-03-01,21.513577222863553,5710792.5,743.0
2016-04-01,23.232225587385024,5587231.75,720.0
2016-05-01,18.93668612961988,5706867.75,743.0
2016-06-01,26.586290601825826,2902409.5,697.0
2016-07-01,24.01590245576873,4302145.75,744.0
2016-08-01,25.516960746687108,4262079.75,744.0
2016-09-01,27.80072091635141,3729333.5,720.0
2016-10-01,33.907260077109,4488192.0,720.0
2016-11-01,33.13172439895945,7267011.75,720.0
2016-12-01,24.923091563366906,8416867.75,744.0
2017-01-01,41.68900847785818,7186927.25,744.0
2017-02-01,32.99445976739315,8439755.75,672.0
2017-03-01,29.04551282613855,8511720.0,743.0
2017-04-01,24.783529834417394,7421613.0,720.0
2017-05-01,26.509844791313796,4963043.75,744.0
2017-06-01,25.710404044692737,6153125.0,720.0
2017-07-01,29.58856945437381,5011439.25,744.0
2017-08-01,27.30413606810357,4804535.25,744.0
2017-09-01,28.30407949463576,5904335.5,720.0
2017-10-01,20.195681880630627,11014475.5,744.0
2017-11-01,31.41137637843338,9256318.75,720.0
2017-12-01,22.67048302152572,13454183.0,744.0
2018-01-01,22.57490517519314,13144978.0,744.0
2018-02-01,36.11599067411584,6859993.0,672.0
2018-03-01,30.447212206807663,9588788.75,743.0
2018-04-01,29.4611085254871,8002044.25,720.0
2018-05-01,28.33275733913758,6270346.75,744.0
2018-06-01,37.810042362424966,5135329.25,720.0
2018-07-01,47.09465741665316,4064678.75,744.0
2018-08-01,52.6157636997553,5343261.5,744.0
2018-09-01,48.393353110966665,6545188.25,720.0
2018-10-01,43.82701303175583,8733167.0,744.0
2018-11-01,52.21103189269064,8035869.5,720.0
2018-12-01,39.92149971612446,12092006.75,744.0
2019-01-01,39.08921854109886,12551354.25,744.0
2019-02-01,38.443598733939815,8914979.0,672.0
2019-03-01,24.707839510740687,13736642.0,743.0
2019-04-01,34.07098463839104,7303645.75,720.0
2019-05-01,35.91886379608788,6428337.75,744.0
2019-06-01,24.31679046368917,5114514.5,720.0
2019-07-01,36.552468348137324,4862707.5,744.0
2019-08-01,30.70372007211256,4493530.5,744.0
2019-09-01,30.893156016402543,7145538.75,720.0
2019-10-01,32.41795380409212,9341217.0,744.0
2019-11-01,37.09034810945486,7880445.25,720.0
2019-12-01,26.52843296917381,12208935.0,744.0
2020-01-01,31.153646883298517,12670559.0,744.0
2020-02-01,17.56525062735163,17239833.25,696.0
2020-03-01,18.37828697101015,11552708.75,743.0
2020-04-01,11.21648798629588,6991474.0,720.0
2020-05-01,13.054323900395923,6132951.75,744.0
2020-06-01,22.230366672024797,4983084.0,720.0
