quarter,TSO,curtailment_rate,production_mwh,curtailed_mwh,wind_mwh,load_mwh,proxy_wind_share,cr_from_mwh,cr_identity_gap,cr_pred_raw,cr_pred,curtailed_mwh_model,curtailed_mwh_error
2015Q1,TenneT,0.095300352074435,8194858.75,863240.0,8194858.75,39550196.25,0.20720146869056308,0.09530035207443505,-4.163336342344337e-17,0.10601567240860749,0.10601567240860749,868783.4606748107,5543.460674810689
2015Q2,TenneT,0.0923222355159137,5428926.0,552190.0,5428926.0,35160349.5,0.15440477916751083,0.09232223551591376,-5.551115123125783e-17,0.0978977554437355,0.0978977554437355,531479.6698701371,-20710.33012986288
2015Q3,TenneT,0.08906269152732,5464026.75,534220.0,5464026.75,37405821.0,0.14607423668097005,0.08906269152732005,-4.163336342344337e-17,0.09661686732766245,0.09661686732766245,527917.1475795486,-6302.852420451352
2015Q4,TenneT,0.1376137133917989,9454346.25,1508660.0,9454346.25,39694844.75,0.2381756701542459,0.1376137133917989,0.0,0.11077820577588626,0.11077820577588626,1047335.5143589786,-461324.4856410214
2016Q1,TenneT,0.1140390831474133,9088086.75,1169800.0,9088086.75,40481852.5,0.22449779811830498,0.11403908314741337,-6.938893903907228e-17,0.10867512260065361,0.10867512260065361,987648.9417616256,-182151.05823837442
2016Q2,TenneT,0.065002825919899,5783928.75,402110.0,5783928.75,36391372.75,0.15893681147271368,0.06500282591989906,-5.551115123125783e-17,0.09859459197398215,0.09859459197398215,570264.0951128346,168154.0951128346
2016Q3,TenneT,0.0839741006156553,5023442.75,460510.0,5023442.75,36651207.0,0.1370607726506797,0.08397410061565538,-8.326672684688674e-17,0.09523097451459489,0.09523097451459489,478387.34850077645,17877.348500776454
2016Q4,TenneT,0.2693268665746293,7883700.25,2905940.0,7883700.25,40038448.0,0.19690324285296973,0.2693268665746293,0.0,0.10443223710252489,0.10443223710252489,823312.4537532347,-2082627.5462467652
2017Q1,TenneT,0.101032035523982,9546415.0,1072890.0,9546415.0,40074437.25,0.23821706941124918,0.10103203552398203,-2.7755575615628914e-17,0.11078457124564953,0.11078457124564953,1057595.4927080374,-15294.507291962625
2017Q2,TenneT,0.135420940402189,7453511.0,1167460.0,7453511.0,36153634.75,0.206162148053454,0.13542094040218902,-2.7755575615628914e-17,0.10585586847566875,0.10585586847566875,788997.8800979502,-378462.1199020498
2017Q3,TenneT,0.0496230681214075,6028640.75,314780.0,6028640.75,36179075.75,0.16663335436367524,0.04962306812140752,-2.0816681711721685e-17,0.09977799753728214,0.09977799753728214,601525.7019066588,286745.7019066588
2017Q4,TenneT,0.1288924423832058,13156996.0,1946760.0,13156996.0,39625106.5,0.3320368615286876,0.12889244238320588,-8.326672684688674e-17,0.12521012119870814,0.12521012119870814,1647389.0637709182,-299370.9362290818
2018Q1,TenneT,0.1268028912140319,11630541.25,1688950.0,11630541.25,40238206.0,0.28904224134644574,0.1268028912140319,0.0,0.11859935147566983,0.11859935147566983,1379374.6495610264,-309575.35043897363
2018Q2,TenneT,0.0903980322287774,7801113.5,775290.0,7801113.5,35800568.0,0.21790474106444344,0.09039803222877749,-8.326672684688674e-17,0.10766138688746002,0.10766138688746002,839878.6986764873,64588.698676487315
2018Q3,TenneT,0.0861925070759862,6527082.25,615650.0,6527082.25,36513116.5,0.17875993274909854,0.08619250707598622,-1.3877787807814457e-17,0.10164255679829215,0.10164255679829215,663429.3283227495,47779.32832274947
2018Q4,TenneT,0.120725626380726,11807743.25,1621220.0,11807743.25,39283391.0,0.30057851293947613,0.12072562638072601,-1.3877787807814457e-17,0.12037314630489945,0.12037314630489945,1421335.205762939,-199884.79423706094
2019Q1,TenneT,0.1630959400651077,13995837.0,2727510.0,13995837.0,39762190.0,0.35198858513577846,0.16309594006510778,-8.326672684688674e-17,0.12827785966889615,0.12827785966889615,1795356.0146347445,-932153.9853652555
2019Q2,TenneT,0.0757248899629744,8192464.25,671200.0,8192464.25,35567020.5,0.23033878393046728,0.0757248899629744,0.0,0.10957322129291017,0.10957322129291017,897674.6981995053,226474.69819950534
2019Q3,TenneT,0.0924252777757863,7215897.0,734850.0,7215897.0,35851696.0,0.2012707292843273,0.09242527777578635,-5.551115123125783e-17,0.10510377337715221,0.10510377337715221,758418.0030008724,23568.003000872442
2019Q4,TenneT,0.0991448454437061,11869281.5,1306290.0,11869281.5,38419274.25,0.3089408046275106,0.09914484544370618,-8.326672684688674e-17,0.12165891611684691,0.12165891611684691,1444003.9223757428,137713.9223757428
2020Q1,TenneT,0.1263987966246904,16649725.75,2409000.0,16649725.75,39492025.75,0.42159715623096394,0.1263987966246904,0.0,0.13898073905960834,0.13898073905960834,2313991.1898747915,-95008.81012520846
2020Q2,TenneT,0.0895865642520519,7652278.25,753000.0,7652278.25,32943607.25,0.23228416341686445,0.08958656425205197,-6.938893903907228e-17,0.10987233908378685,0.10987233908378685,840773.7106474871,87773.71064748708
2020Q3,TenneT,0.1038738016791836,6547943.5,759000.0,6547943.5,34989488.5,0.1871403035800309,0.10387380167918364,-4.163336342344337e-17,0.10293110642431824,0.10293110642431824,673987.0692589228,-85012.93074107717
2020Q4,TenneT,0.0909823250777832,11889463.5,1190000.0,11889463.5,38579153.0,0.3081836322326724,0.0909823250777832,0.0,0.12154249475245993,0.12154249475245993,1445075.0550583138,255075.05505831377
2021Q1,TenneT,0.1232079070182118,11194037.75,1573000.0,11194037.75,39166718.5,0.28580484091359354,0.1232079070182118,0.0,0.11810157504056853,0.11810157504056853,1322033.489338582,-250966.51066141808
2021Q2,TenneT,0.1249827236968931,8037269.5,1148000.0,8037269.5,35850273.5,0.22418990750516868,0.12498272369689316,-5.551115123125783e-17,0.10862778193489818,0.10862778193489818,873070.7585980081,-274929.2414019919
2021Q3,TenneT,0.0973775255834347,6562671.5,708000.0,6562671.5,35542509.25,0.1846428864613716,0.09737752558343477,-6.938893903907228e-17,0.10254710839377745,0.10254710839377745,672982.985663254,-35017.01433674595
2021Q4,TenneT,0.0887277385569267,11472073.25,1117000.0,11472073.25,39500902.5,0.2904255985037304,0.08872773855692674,-4.163336342344337e-17,0.11881205379918756,0.11881205379918756,1363020.5841672206,246020.58416722063
2022Q1,TenneT,0.1281002251637169,15416467.75,2265000.0,15416467.75,39389354.25,0.39138665874422146,0.12810022516371697,-5.551115123125783e-17,0.13433563134015994,0.13433563134015994,2070980.928231465,-194019.07176853507
2022Q2,TenneT,0.1514992349312791,8781887.25,1568000.0,8781887.25,35357607.5,0.24837334511391926,0.1514992349312791,0.0,0.11234618057326891,0.11234618057326891,986611.4907625879,-581388.5092374121
2015Q1,50Hertz,0.0294479784266248,8396098.5,254750.0,8396098.5,27193709.75,0.30875149353243353,0.029447978426624857,-5.551115123125783e-17,0.03519704316857292,0.03519704316857292,295517.8413520903,40767.8413520903
2015Q2,50Hertz,0.0330115741350044,5115625.75,174640.0,5115625.75,24434279.0,0.2093626642308537,0.03301157413500447,-6.938893903907228e-17,0.032285944569617135,0.032285944569617135,165162.80940340608,-9477.190596593922
2015Q3,50Hertz,0.0496982803414298,5116318.5,267570.0,5116318.5,24740260.5,0.2068013188462587,0.049698280341429805,-6.938893903907228e-18,0.03221092276874743,0.03221092276874743,164801.3400638137,-102768.6599361863
2015Q4,50Hertz,0.0567106957092363,8709226.25,523600.0,8709226.25,25992943.25,0.3350611804994419,0.056710695709236376,-7.632783294297951e-17,0.035967653843905684,0.035967653843905684,313250.43500825675,-210349.56499174325
2016Q1,50Hertz,0.0396841723419162,7965088.75,329150.0,7965088.75,27132628.5,0.29356126517561687,0.03968417234191625,-4.85722573273506e-17,0.03475212141229417,0.03475212141229417,276803.7312996984,-52346.26870030159
2016Q2,50Hertz,0.0262061649734199,4798336.5,129130.0,4798336.5,25112594.25,0.19107291155313433,0.02620616497341991,-1.0408340855860843e-17,0.03175023775256833,0.03175023775256833,152348.32469182656,23218.324691826565
