month,market_price_eur_mwh,merchant_price_pred_eur_mwh,strike_eur_mwh,eeg_supported_price_pred_eur_mwh,premium_pred_eur_mwh,capture_factor_pred,wind_mwh
2026-01-01,87.83118175699673,72.10226879593654,70.64738715355446,72.10226879593654,0.0,0.8209188052988117,13013992.125
2026-02-01,87.83118175699673,77.41027153520777,70.64738715355446,77.41027153520777,0.0,0.8813529544596067,11385568.5625
2026-03-01,87.83118175699673,72.78783878866031,70.64738715355446,72.78783878866031,0.0,0.8287243474651523,9851545.40625
2026-04-01,87.83118175699673,75.82080811668368,70.64738715355446,75.82080811668368,0.0,0.8632561534519454,7945802.59375
2026-05-01,87.83118175699673,77.73117263568605,70.64738715355446,77.73117263568605,0.0,0.8850065669245524,6668676.111111111
2026-06-01,87.83118175699673,77.05593023691887,70.64738715355446,77.05593023691887,0.0,0.8773186093534544,5381271.861111111
2026-07-01,87.83118175699673,76.79572165691212,70.64738715355446,76.79572165691212,0.0,0.8743560102536647,5528981.558888889
2026-08-01,87.83118175699673,77.59077608415285,70.64738715355446,77.59077608415285,0.0,0.8834080850559873,5109096.221111111
2026-09-01,87.83118175699673,75.97519516906387,70.64738715355446,75.97519516906387,0.0,0.8650139238620868,6552455.976666667
2026-10-01,87.83118175699673,71.68867125985876,70.64738715355446,71.68867125985876,0.0,0.8162097995925913,10294485.93
2026-11-01,87.83118175699673,74.6629321916032,70.64738715355446,74.6629321916032,0.0,0.8500731824168525,9607339.602222223
2026-12-01,87.83118175699673,67.0137222948074,70.64738715355446,70.64738715355446,3.6336648587470677,0.7629832703403083,12049016.381111111
2027-01-01,87.83118175699673,72.26050975305635,70.64738715355446,72.26050975305635,0.0,0.8227204542571238,13013992.125
2027-02-01,87.83118175699673,77.5685124923276,70.64738715355446,77.5685124923276,0.0,0.8831546034179188,11385568.5625
2027-03-01,87.83118175699673,72.94607974578011,70.64738715355446,72.94607974578011,0.0,0.8305259964234644,9851545.40625
2027-04-01,87.83118175699673,75.9790490738035,70.64738715355446,75.9790490738035,0.0,0.8650578024102575,7945802.59375
2027-05-01,87.83118175699673,77.88941359280587,70.64738715355446,77.88941359280587,0.0,0.8868082158828645,6668676.111111111
2027-06-01,87.83118175699673,77.21417119403868,70.64738715355446,77.21417119403868,0.0,0.8791202583117665,5381271.861111111
2027-07-01,87.83118175699673,76.95396261403194,70.64738715355446,76.95396261403194,0.0,0.8761576592119769,5528981.558888889
2027-08-01,87.83118175699673,77.74901704127265,70.64738715355446,77.74901704127265,0.0,0.8852097340142994,5109096.221111111
2027-09-01,87.83118175699673,76.13343612618368,70.64738715355446,76.13343612618368,0.0,0.8668155728203989,6552455.976666667
2027-10-01,87.83118175699673,71.84691221697857,70.64738715355446,71.84691221697857,0.0,0.8180114485509034,10294485.93
2027-11-01,87.83118175699673,74.82117314872302,70.64738715355446,74.82117314872302,0.0,0.8518748313751645,9607339.602222223
2027-12-01,87.83118175699673,67.17196325192721,70.64738715355446,70.64738715355446,3.475423901627252,0.7647849192986205,12049016.381111111
2028-01-01,87.83118175699673,72.41875071017616,70.64738715355446,72.41875071017616,0.0,0.8245221032154358,13013992.125
2028-02-01,87.83118175699673,77.7267534494474,70.64738715355446,77.7267534494474,0.0,0.8849562523762309,11385568.5625
2028-03-01,87.83118175699673,73.10432070289993,70.64738715355446,73.10432070289993,0.0,0.8323276453817765,9851545.40625
2028-04-01,87.83118175699673,76.1372900309233,70.64738715355446,76.1372900309233,0.0,0.8668594513685696,7945802.59375
2028-05-01,87.83118175699673,78.04765454992567,70.64738715355446,78.04765454992567,0.0,0.8886098648411765,6668676.111111111
2028-06-01,87.83118175699673,77.37241215115849,70.64738715355446,77.37241215115849,0.0,0.8809219072700786,5381271.861111111
2028-07-01,87.83118175699673,77.11220357115174,70.64738715355446,77.11220357115174,0.0,0.8779593081702889,5528981.558888889
2028-08-01,87.83118175699673,77.90725799839247,70.64738715355446,77.90725799839247,0.0,0.8870113829726115,5109096.221111111
2028-09-01,87.83118175699673,76.2916770833035,70.64738715355446,76.2916770833035,0.0,0.8686172217787109,6552455.976666667
2028-10-01,87.83118175699673,72.00515317409838,70.64738715355446,72.00515317409838,0.0,0.8198130975092155,10294485.93
2028-11-01,87.83118175699673,74.97941410584284,70.64738715355446,74.97941410584284,0.0,0.8536764803334767,9607339.602222223
2028-12-01,87.83118175699673,67.33020420904701,70.64738715355446,70.64738715355446,3.3171829445074508,0.7665865682569325,12049016.381111111
2029-01-01,87.83118175699673,72.57699166729597,70.64738715355446,72.57699166729597,0.0,0.8263237521737479,13013992.125
2029-02-01,87.83118175699673,77.88499440656722,70.64738715355446,77.88499440656722,0.0,0.886757901334543,11385568.5625
2029-03-01,87.83118175699673,73.26256166001974,70.64738715355446,73.26256166001974,0.0,0.8341292943400886,9851545.40625
2029-04-01,87.83118175699673,76.29553098804311,70.64738715355446,76.29553098804311,0.0,0.8686611003268817,7945802.59375
2029-05-01,87.83118175699673,78.2058955070455,70.64738715355446,78.2058955070455,0.0,0.8904115137994887,6668676.111111111
2029-06-01,87.83118175699673,77.5306531082783,70.64738715355446,77.5306531082783,0.0,0.8827235562283907,5381271.861111111
2029-07-01,87.83118175699673,77.27044452827157,70.64738715355446,77.27044452827157,0.0,0.879760957128601,5528981.558888889
2029-08-01,87.83118175699673,78.06549895551228,70.64738715355446,78.06549895551228,0.0,0.8888130319309235,5109096.221111111
2029-09-01,87.83118175699673,76.44991804042331,70.64738715355446,76.44991804042331,0.0,0.8704188707370231,6552455.976666667
