date,nt_eur_mwh,smard_eur_mwh,wind_onshore_mwh_sum,hours_used,error,abs_error,pct_error,abs_pct_error
2015-01-01,22.0,24.75444507978744,7830853.25,648.0,2.754445079787441,2.754445079787441,0.12520204908124732,0.12520204908124732
2015-02-01,31.63,31.908996693425543,5325677.75,672.0,0.2789966934255439,0.2789966934255439,0.008820635264797467,0.008820635264797467
2015-03-01,25.270000000000003,25.87484451608309,7010958.25,743.0,0.6048445160830873,0.6048445160830873,0.023935279623390867,0.023935279623390867
2015-04-01,25.36,25.95028883506745,5157796.5,720.0,0.5902888350674509,0.5902888350674509,0.023276373622533552,0.023276373622533552
2015-05-01,22.68,23.098153966193067,5105062.25,744.0,0.4181539661930671,0.4181539661930671,0.018437123729853046,0.018437123729853046
2015-06-01,27.92,28.117177490256605,3871212.5,720.0,0.19717749025660325,0.19717749025660325,0.007062231026382638,0.007062231026382638
2015-07-01,29.26,29.53105313265412,5401805.25,744.0,0.27105313265411723,0.27105313265411723,0.009263606720919932,0.009263606720919932
2015-08-01,29.59,29.690828553848664,3553163.75,744.0,0.10082855384866463,0.10082855384866463,0.003407521252067071,0.003407521252067071
2015-09-01,27.65,28.04404270063373,5328808.5,720.0,0.39404270063373303,0.39404270063373303,0.014251092247151285,0.014251092247151285
2015-10-01,36.56,36.65409792799306,3438960.5,744.0,0.0940979279930545,0.0940979279930545,0.0025737945293505056,0.0025737945293505056
2015-11-01,26.71,27.087840750399568,9763092.0,720.0,0.3778407503995673,0.3778407503995673,0.01414604082364535,0.01414604082364535
2015-12-01,23.58,23.880916257840425,10359892.25,744.0,0.3009162578404272,0.3009162578404272,0.012761503725208958,0.012761503725208958
2016-01-01,24.07,24.48855919604413,8406655.5,744.0,0.4185591960441286,0.4185591960441286,0.01738924786224049,0.01738924786224049
2016-02-01,18.31,18.640334943393363,9366679.75,696.0,0.330334943393364,0.330334943393364,0.018041231206628292,0.018041231206628292
2016-03-01,21.06,21.513577222863557,5710792.5,743.0,0.45357722286355795,0.45357722286355795,0.02153738000301795,0.02153738000301795
2016-04-01,23.25,23.232225587385024,5587231.75,720.0,-0.017774412614976143,0.017774412614976143,-0.0007644908651602642,0.0007644908651602642
2016-05-01,18.0,18.93668612961988,5706867.75,743.0,0.9366861296198792,0.9366861296198792,0.05203811831221551,0.05203811831221551
2016-06-01,26.72,26.586290601825823,2902409.5,697.0,-0.13370939817417593,0.13370939817417593,-0.005004094243045506,0.005004094243045506
2016-07-01,23.91,24.01590245576873,4302145.75,744.0,0.10590245576873158,0.10590245576873158,0.00442921186820291,0.00442921186820291
2016-08-01,25.33,25.516960746687108,4262079.75,744.0,0.1869607466871095,0.1869607466871095,0.007381000658788373,0.007381000658788373
2016-09-01,27.480000000000004,27.80072091635141,3729333.5,720.0,0.3207209163514051,0.3207209163514051,0.01167106682501474,0.01167106682501474
2016-10-01,34.03,33.907260077109,4488192.0,720.0,-0.12273992289100022,0.12273992289100022,-0.0036068152480458484,0.0036068152480458484
2016-11-01,32.66,33.13172439895945,7267011.75,720.0,0.4717243989594522,0.4717243989594522,0.014443490476406988,0.014443490476406988
2016-12-01,24.03,24.923091563366903,8416867.75,744.0,0.8930915633669017,0.8930915633669017,0.037165691359421625,0.037165691359421625
2017-01-01,40.66,41.68900847785818,7186927.25,744.0,1.0290084778581843,1.0290084778581843,0.025307635953226375,0.025307635953226375
2017-02-01,32.93,32.99445976739315,8439755.75,672.0,0.06445976739315284,0.06445976739315284,0.0019574785117872106,0.0019574785117872106
2017-03-01,28.72,29.04551282613855,8511720.0,743.0,0.32551282613854937,0.32551282613854937,0.011334012052177904,0.011334012052177904
2017-04-01,23.6,24.783529834417397,7421613.0,720.0,1.1835298344173957,1.1835298344173957,0.05014956925497439,0.05014956925497439
2017-05-01,26.21,26.5098447913138,4963043.75,744.0,0.2998447913137987,0.2998447913137987,0.011440091236695867,0.011440091236695867
2017-06-01,25.49,25.710404044692737,6153125.0,720.0,0.22040404469273867,0.22040404469273867,0.008646686727843808,0.008646686727843808
2017-07-01,28.92,29.58856945437381,5011439.25,744.0,0.6685694543738094,0.6685694543738094,0.02311789261320226,0.02311789261320226
2017-08-01,27.21,27.30413606810357,4804535.25,744.0,0.09413606810356967,0.09413606810356967,0.0034596129402267427,0.0034596129402267427
2017-09-01,27.65,28.30407949463576,5904335.5,720.0,0.6540794946357629,0.6540794946357629,0.023655677925344048,0.023655677925344048
2017-10-01,18.72,20.195681880630627,11014475.5,744.0,1.4756818806306278,1.4756818806306278,0.07882916029009764,0.07882916029009764
2017-11-01,30.880000000000003,31.41137637843338,9256318.75,720.0,0.5313763784333787,0.5313763784333787,0.017207784275692313,0.017207784275692313
2017-12-01,21.92,22.67048302152572,13454183.0,744.0,0.7504830215257172,0.7504830215257172,0.03423736412069878,0.03423736412069878
2018-01-01,21.77,22.57490517519314,13144978.0,744.0,0.8049051751931415,0.8049051751931415,0.03697313620547274,0.03697313620547274
2018-02-01,35.45,36.11599067411584,6859993.0,672.0,0.6659906741158395,0.6659906741158395,0.018786760905947514,0.018786760905947514
2018-03-01,29.49,30.447212206807663,9588788.75,743.0,0.9572122068076645,0.9572122068076645,0.032458874425488796,0.032458874425488796
2018-04-01,29.24,29.4611085254871,8002044.25,720.0,0.22110852548710014,0.22110852548710014,0.007561851076850211,0.007561851076850211
