date,p_market_used,strike_eur_mwh_hist,markup_hist,markup_path,strike_low,strike_base,strike_high,strike_used_hist_or_base
2015-01-01,24.75444507978744,,,1.235067776545651,,,,
2015-02-01,31.908996693425543,,,1.235067776545651,,,,
2015-03-01,25.87484451608309,,,1.235067776545651,,,,
2015-04-01,25.95028883506745,,,1.235067776545651,,,,
2015-05-01,23.098153966193067,,,1.235067776545651,,,,
2015-06-01,28.117177490256605,,,1.235067776545651,,,,
2015-07-01,29.53105313265412,,,1.235067776545651,,,,
2015-08-01,29.690828553848664,,,1.235067776545651,,,,
2015-09-01,28.04404270063373,,,1.235067776545651,,,,
2015-10-01,36.65409792799306,,,1.235067776545651,,,,
2015-11-01,27.087840750399568,,,1.235067776545651,,,,
2015-12-01,23.880916257840425,,,1.235067776545651,,,,
2016-01-01,24.48855919604413,,,1.235067776545651,,,,
2016-02-01,18.640334943393363,,,1.235067776545651,,,,
2016-03-01,21.51357722286356,,,1.235067776545651,,,,
2016-04-01,23.232225587385024,,,1.235067776545651,,,,
2016-05-01,18.93668612961988,,,1.235067776545651,,,,
2016-06-01,26.586290601825823,,,1.235067776545651,,,,
2016-07-01,24.01590245576873,,,1.235067776545651,,,,
2016-08-01,25.516960746687108,,,1.235067776545651,,,,
2016-09-01,27.80072091635141,,,1.235067776545651,,,,
2016-10-01,33.907260077109,,,1.235067776545651,,,,
2016-11-01,33.13172439895945,,,1.235067776545651,,,,
2016-12-01,24.923091563366903,,,1.235067776545651,,,,
2017-01-01,41.68900847785818,,,1.235067776545651,,,,
2017-02-01,32.99445976739315,,,1.235067776545651,,,,
2017-03-01,29.04551282613855,,,1.235067776545651,,,,
2017-04-01,24.7835298344174,,,1.235067776545651,,,,
2017-05-01,26.5098447913138,58.18198836539946,2.1947313846387866,1.235067776545651,,,,58.18198836539946
2017-06-01,25.710404044692737,,,1.235067776545651,,,,
2017-07-01,29.58856945437381,,,1.235067776545651,,,,
2017-08-01,27.30413606810357,46.38126336720261,1.698690017201634,1.235067776545651,,,,46.38126336720261
2017-09-01,28.30407949463576,,,1.235067776545651,,,,
2017-10-01,20.195681880630627,,,1.235067776545651,,,,
2017-11-01,31.41137637843338,40.21597779874906,1.280299765099144,1.235067776545651,,,,40.21597779874906
2017-12-01,22.67048302152572,,,1.235067776545651,,,,
2018-01-01,22.57490517519314,,,1.235067776545651,,,,
2018-02-01,36.11599067411584,49.04926605115101,1.358103851940143,1.235067776545651,,,,49.04926605115101
2018-03-01,30.447212206807663,,,1.235067776545651,,,,
2018-04-01,29.4611085254871,,,1.235067776545651,,,,
2018-05-01,28.33275733913758,54.78163339623266,1.933508720683525,1.235067776545651,,,,54.78163339623266
2018-06-01,37.810042362424966,,,1.235067776545651,,,,
2018-07-01,47.09465741665316,,,1.235067776545651,,,,
2018-08-01,52.6157636997553,61.14684871577759,1.1621393365057622,1.235067776545651,,,,61.14684871577759
2018-09-01,48.393353110966665,,,1.235067776545651,,,,
2018-10-01,43.82701303175583,61.72408909488863,1.4083571940019064,1.235067776545651,,,,61.72408909488863
2018-11-01,52.21103189269064,,,1.235067776545651,,,,
2018-12-01,39.92149971612446,,,1.235067776545651,,,,
2019-01-01,39.08921854109886,,,1.235067776545651,,,,
2019-02-01,38.443598733939815,60.41094535333106,1.5714175400545276,1.235067776545651,,,,60.41094535333106
2019-03-01,24.707839510740687,,,1.235067776545651,,,,
2019-04-01,34.07098463839104,,,1.235067776545651,,,,
2019-05-01,35.91886379608788,61.15970640086792,1.7027182916495582,1.235067776545651,,,,61.15970640086792
2019-06-01,24.31679046368917,,,1.235067776545651,,,,
2019-07-01,36.552468348137324,,,1.235067776545651,,,,
2019-08-01,30.70372007211256,61.979268547544415,2.0186240755835536,1.235067776545651,,,,61.979268547544415
2019-09-01,30.893156016402543,61.95088120973324,2.005327043207912,1.235067776545651,,,,61.95088120973324
2019-10-01,32.41795380409212,61.99803988827363,1.9124599986458002,1.235067776545651,,,,61.99803988827363
2019-11-01,37.09034810945486,,,1.235067776545651,,,,
2019-12-01,26.52843296917381,61.10253703487694,2.303284822962534,1.235067776545651,,,,61.10253703487694
2020-01-01,31.15364688329852,,,1.235067776545651,,,,
2020-02-01,17.56525062735163,61.763773620738775,3.5162477855319447,1.235067776545651,,,,61.763773620738775
2020-03-01,18.37828697101015,60.80221878224975,3.308372476616508,1.235067776545651,,,,60.80221878224975
2020-04-01,11.21648798629588,,,1.235067776545651,,,,
2020-05-01,13.054323900395923,,,1.235067776545651,,,,
2020-06-01,22.2303666720248,61.35732158514938,2.7600679057787576,1.235067776545651,,,,61.35732158514938
2020-07-01,21.781228919400714,60.84980371630464,2.7936809232148163,1.235067776545651,,,,60.84980371630464
2020-08-01,30.12095607315696,,,1.235067776545651,,,,
2020-09-01,38.06809029726469,61.91446287646964,1.6264136811958332,1.235067776545651,,,,61.91446287646964
2020-10-01,30.13626273951589,61.14088042135379,2.0288142876184643,1.235067776545651,,,,61.14088042135379
2020-11-01,32.17629850139585,,,1.235067776545651,,,,
2020-12-01,33.82754291605212,59.82482879318216,1.7685242153604246,1.235067776545651,,,,59.82482879318216
2021-01-01,46.67237808231476,,,1.235067776545651,,,,
2021-02-01,43.99724796778153,59.96789092932666,1.3629918619737345,1.235067776545651,,,,59.96789092932666
2021-03-01,35.066354560122726,,,1.235067776545651,,,,
2021-04-01,45.03283291810275,,,1.235067776545651,,,,
2021-05-01,43.2099765450448,58.775423415045765,1.3602280795911694,1.235067776545651,,,,58.775423415045765
2021-06-01,64.08109620107905,,,1.235067776545651,,,,
2021-07-01,69.55297318883106,,,1.235067776545651,,,,
2021-08-01,73.61794914743793,,,1.235067776545651,,,,
2021-09-01,118.51020674307271,58.09116808491973,0.49017860723895273,1.235067776545651,,,,58.09116808491973
2021-10-01,112.07803186976236,,,1.235067776545651,,,,
2021-11-01,142.52552734924203,,,1.235067776545651,,,,
2021-12-01,165.70965356484825,,,1.235067776545651,,,,
2022-01-01,132.332932735765,,,1.235067776545651,,,,
2022-02-01,110.7309711073684,57.39408816697126,0.5183201013501458,1.235067776545651,,,,57.39408816697126
2022-03-01,206.1247451451416,,,1.235067776545651,,,,
2022-04-01,131.16367093887155,,,1.235067776545651,,,,
2022-05-01,140.44577765935426,58.46440558037364,0.4162774171978083,1.235067776545651,,,,58.46440558037364
2022-06-01,198.5235974559632,,,1.235067776545651,,,,
2022-07-01,283.10446706640045,,,1.235067776545651,,,,
2022-08-01,461.6979368378837,,,1.235067776545651,,,,
2022-09-01,288.664049865553,58.40856262780524,0.20234096575243565,1.235067776545651,,,,58.40856262780524
2022-10-01,129.27028628850724,,,1.235067776545651,,,,
2022-11-01,138.85876317216963,,,1.235067776545651,,,,
2022-12-01,153.3294663970532,58.652745629155376,0.38252755329671323,1.235067776545651,,,,58.652745629155376
2023-01-01,89.87857827439915,,,1.235067776545651,,,,
2023-02-01,107.47797090726128,73.44257057801043,0.6833267315902464,1.235067776545651,,,,73.44257057801043
2023-03-01,87.24408606678931,,,1.235067776545651,,,,
2023-04-01,91.23049409410272,,,1.235067776545651,,,,
