date,strike_eur_mwh
2017-05-01,77.06095829404751
2017-06-01,76.93133077694621
2017-07-01,76.80192131180743
2017-08-01,76.67272953183668
2017-09-01,76.54375507085649
2017-10-01,76.41499756330532
2017-11-01,76.2864566442366
2017-12-01,76.1581319493176
2018-01-01,76.03002311482852
2018-02-01,75.90212977766129
2018-03-01,75.77445157531874
2018-04-01,75.64698814591338
2018-05-01,75.51973912816656
2018-06-01,75.39270416140728
2018-07-01,75.26588288557127
2018-08-01,75.13927494119994
2018-09-01,75.01287996943935
2018-10-01,74.88669761203921
2018-11-01,74.76072751135187
2018-12-01,74.63496931033126
2019-01-01,74.50942265253194
2019-02-01,74.38408718210806
2019-03-01,74.25896254381234
2019-04-01,74.1340483829951
2019-05-01,74.00934434560322
2019-06-01,73.88485007817913
2019-07-01,73.76056522785986
2019-08-01,73.63648944237593
2019-09-01,73.51262237005056
2019-10-01,73.38896365979843
2019-11-01,73.26551296112484
2019-12-01,73.14226992412462
2020-01-01,73.01923419948129
2020-02-01,72.89640543846589
2020-03-01,72.7737832929361
2020-04-01,72.65136741533522
2020-05-01,72.52915745869116
2020-06-01,72.40715307661554
2020-07-01,72.28535392330264
2020-08-01,72.16375965352842
2020-09-01,72.04236992264956
2020-10-01,71.92118438660246
2020-11-01,71.80020270190234
2020-12-01,71.67942452564215
2021-01-01,71.55884951549167
2021-02-01,71.43847732969658
2021-03-01,71.31830762707737
2021-04-01,71.1983400670285
2021-05-01,71.07857430951734
2021-06-01,70.95901001508324
2021-07-01,70.8396468448366
2021-08-01,70.72048446045785
2021-09-01,70.60152252419657
2021-10-01,70.48276069887041
2021-11-01,70.36419864786428
2021-12-01,70.2458360351293
2022-01-01,70.12767252518185
2022-02-01,70.00970778310266
2022-03-01,69.89194147453583
2022-04-01,69.77437326568794
2022-05-01,69.65700282332699
2022-06-01,69.53982981478157
2022-07-01,69.42285390793987
2022-08-01,69.30607477124869
2022-09-01,69.18949207371263
2022-10-01,69.073105484893
2022-11-01,68.956914674907
2022-12-01,68.8409193144267
2023-01-01,68.7251190746782
2023-02-01,68.60951362744059
2023-03-01,68.49410264504512
2023-04-01,68.37888580037416
2023-05-01,68.26386276686044
2023-06-01,68.14903321848594
2023-07-01,68.03439682978106
2023-08-01,67.91995327582372
2023-09-01,67.80570223223837
2023-10-01,67.69164337519514
2023-11-01,67.57777638140885
2023-12-01,67.46410092813817
2024-01-01,67.35061669318463
2024-02-01,67.23732335489177
2024-03-01,67.12422059214421
2024-04-01,67.01130808436669
2024-05-01,66.89858551152322
2024-06-01,66.78605255411621
