Alle Werte in ct/kWh;Jan 2022;Feb 2022;Mär 2022;Apr 2022;Mai 2022;Jun 2022;Jul 2022;Aug 2022;Sep 2022;Okt 2022;Nov 2022;Dez 2022
; ; ; ; ; ; ; ; ; ; ; ; 
Spotmarktpreis; 16,773; 12,880; 25,201; 16,573; 17,748; 21,803; 31,500; 46,518; 34,612; 15,260; 17,363; 25,162
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind an Land; 12,883; 10,825; 19,766; 12,703; 13,242; 19,692; 27,824; 46,092; 28,238; 12,715; 13,718; 14,164
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind auf See; 14,476; 11,845; 20,701; 13,353; 14,024; 19,909; 28,687; 47,611; 29,358; 13,694; 14,414; 20,054
; ; ; ; ; ; ; ; ; ; ; ; 
MW Solar; 17,838; 11,871; 20,712; 14,566; 15,132; 18,940; 26,093; 39,910; 31,673; 12,904; 15,374; 24,661
; ; ; ; ; ; ; ; ; ; ; ; 
MW; 16,773; 12,880; 25,201; 16,573; 17,748; 21,803; 31,500; 46,518; 34,612; 15,260; 17,363; 25,162
; ; ; ; ; ; ; ; ; ; ; ; 
Negative Stunden (6H); Nein; Nein; Ja; Nein; Ja; Nein; Nein; Nein; Nein; Nein; Nein; Ja
Negative Stunden (4H); Ja; Ja; Ja; Ja; Ja; Nein; Nein; Nein; Nein; Nein; Nein; Ja
Negative Stunden (1H); Ja; Ja; Ja; Ja; Ja; Ja; Ja; Nein; Nein; Nein; Nein; Ja
