Alle Werte in ct/kWh;Jan 2018;Feb 2018;Mär 2018;Apr 2018;Mai 2018;Jun 2018;Jul 2018;Aug 2018;Sep 2018;Okt 2018;Nov 2018;Dez 2018
; ; ; ; ; ; ; ; ; ; ; ; 
Monatsmittelwert Stundenkontrakte EPEX Spot (MW-EPEX); 2,946; 4,012; 3,736; 3,206; 3,354; 4,242; 4,954; 5,619; 5,483; 5,311; 5,668; 4,813
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind Onshore; 2,177; 3,545; 2,949; 2,924; 2,757; 3,737; 4,686; 5,235; 4,805; 4,337; 5,214; 3,940
PM Wind Onshore fernsteuerbar; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind Offshore; 2,468; 3,666; 3,181; 3,118; 3,170; 3,830; 4,757; 5,244; 5,051; 4,818; 5,379; 4,378
PM Wind Offshore fernsteuerbar; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400
; ; ; ; ; ; ; ; ; ; ; ; 
MW Solar; 3,440; 4,038; 3,698; 2,954; 3,186; 4,251; 4,900; 5,595; 5,210; 5,325; 5,976; 5,612
PM Solar fernsteuerbar; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400
; ; ; ; ; ; ; ; ; ; ; ; 
MW steuerbar; 2,946; 4,012; 3,736; 3,206; 3,354; 4,242; 4,954; 5,619; 5,483; 5,311; 5,668; 4,813
PM steuerbar; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200
; ; ; ; ; ; ; ; ; ; ; ; 
Negative Stunden (6H); Ja; Nein; Ja; Nein; Ja; Nein; Nein; Nein; Nein; Nein; Nein; Ja
Negative Stunden (4H); Ja; Nein; Ja; Nein; Ja; Nein; Nein; Nein; Nein; Ja; Nein; Ja
Negative Stunden (1H); Ja; Ja; Ja; Ja; Ja; Nein; Nein; Nein; Ja; Ja; Nein; Ja
