Alle Werte in ct/kWh;Jan 2023;Feb 2023;Mär 2023;Apr 2023;Mai 2023;Jun 2023;Jul 2023;Aug 2023;Sep 2023;Okt 2023;Nov 2023;Dez 2023
; ; ; ; ; ; ; ; ; ; ; ; 
Spotmarktpreis; 11,783; 12,831; 10,252; 10,074; 8,172; 9,476; 7,761; 9,432; 10,072; 8,738; 9,112; 6,852
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind an Land; 8,726; 10,620; 8,515; 8,940; 8,095; 9,236; 5,445; 6,613; 8,566; 6,864; 7,653; 4,409
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind auf See; 9,650; 11,051; 8,955; 9,260; 8,058; 9,147; 6,051; 7,334; 8,874; 7,426; 7,915; 5,562
; ; ; ; ; ; ; ; ; ; ; ; 
MW Solar; 12,291; 12,343; 8,883; 8,002; 5,356; 7,124; 5,173; 7,533; 7,447; 6,763; 8,525; 6,592
; ; ; ; ; ; ; ; ; ; ; ; 
MW; 11,783; 12,831; 10,252; 10,074; 8,172; 9,476; 7,761; 9,432; 10,072; 8,738; 9,112; 6,852
; ; ; ; ; ; ; ; ; ; ; ; 
Negative Stunden (6H); Ja; Nein; Ja; Nein; Ja; Ja; Ja; Ja; Ja; Ja; Nein; Ja
Negative Stunden (4H); Ja; Nein; Ja; Ja; Ja; Ja; Ja; Ja; Ja; Ja; Nein; Ja
Negative Stunden (1H); Ja; Nein; Ja; Ja; Ja; Ja; Ja; Ja; Ja; Ja; Ja; Ja
