Alle Werte in ct/kWh;Jan 2019;Feb 2019;Mär 2019;Apr 2019;Mai 2019;Jun 2019;Jul 2019;Aug 2019;Sep 2019;Okt 2019;Nov 2019;Dez 2019
; ; ; ; ; ; ; ; ; ; ; ; 
Monatsmittelwert Stundenkontrakte EPEX Spot (MW-EPEX); 4,939; 4,282; 3,063; 3,696; 3,784; 3,252; 3,969; 3,685; 3,575; 3,694; 4,100; 3,197
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind Onshore; 3,833; 3,811; 2,423; 3,262; 3,564; 2,231; 3,641; 3,029; 3,064; 3,194; 3,709; 2,599
PM Wind Onshore fernsteuerbar; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind Offshore; 4,298; 4,088; 2,672; 3,416; 3,559; 2,662; 3,644; 3,200; 3,317; 3,323; 3,835; 2,936
PM Wind Offshore fernsteuerbar; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400
; ; ; ; ; ; ; ; ; ; ; ; 
MW Solar; 5,906; 4,213; 3,075; 3,172; 3,530; 2,910; 3,917; 3,376; 3,345; 3,788; 4,383; 3,696
PM Solar fernsteuerbar; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400
; ; ; ; ; ; ; ; ; ; ; ; 
MW steuerbar; 4,939; 4,282; 3,063; 3,696; 3,784; 3,252; 3,969; 3,685; 3,575; 3,694; 4,100; 3,197
PM steuerbar; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200
; ; ; ; ; ; ; ; ; ; ; ; 
Negative Stunden (6H); Ja; Nein; Ja; Ja; Nein; Ja; Nein; Ja; Nein; Nein; Nein; Ja
Negative Stunden (4H); Ja; Ja; Ja; Ja; Ja; Ja; Nein; Ja; Ja; Nein; Nein; Ja
Negative Stunden (1H); Ja; Ja; Ja; Ja; Ja; Ja; Nein; Ja; Ja; Ja; Nein; Ja
