date,price_eur_mwh_forecast,log_price_shifted_forecast,mu_log_shifted
2026-01-01,44.594443155319794,5.499601504905559,10.090382171916277
2026-02-01,39.8876563183496,5.480170715076063,10.091211366154042
2026-03-01,40.31309723395208,5.481942644935687,10.092040560391805
2026-04-01,33.71001488980778,5.4540810942415465,10.092869754629568
2026-05-01,32.24481358096807,5.447792046253938,10.093698948867333
2026-06-01,39.17433840003221,5.477192735385145,10.094528143105096
2026-07-01,46.79436025343941,5.50855544028488,10.095357337342861
2026-08-01,54.5263014655435,5.539404176291427,10.096186531580624
2026-09-01,55.389489699997256,5.542789790441547,10.09701572581839
2026-10-01,45.62275007189419,5.503796822568928,10.097844920056152
2026-11-01,54.667081420068826,5.53995712910992,10.098674114293917
2026-12-01,55.9591260499198,5.5450177678644295,10.09950330853168
2027-01-01,47.77805957013297,5.512533424395862,10.100332502769445
2027-02-01,42.94185981096632,5.492822154676124,10.101161697007209
2027-03-01,43.3108854302921,5.4943399895625475,10.101990891244974
2027-04-01,36.57096983074101,5.466248246766748,10.102820085482737
2027-05-01,35.03881271384006,5.4597506609910935,10.103649279720502
2027-06-01,42.00597831031092,5.488962429613169,10.104478473958265
2027-07-01,49.673480418633176,5.520153985873101,10.105307668196028
2027-08-01,57.455701758413284,5.550847673298426,10.106136862433793
2027-09-01,58.29254150962663,5.554092824383411,10.106966056671556
2027-10-01,48.383173167497375,5.5149726068932186,10.107795250909321
2027-11-01,57.499462897584124,5.551017634266991,10.108624445147084
2027-12-01,58.77885059214668,5.555973838236961,10.10945363938485
2028-01-01,50.483959421399845,5.523394884228731,10.110282833622612
2028-02-01,45.57389601527561,5.503597904041414,10.111112027860377
2028-03-01,45.92782321017441,5.50503809129704,10.11194122209814
2028-04-01,39.0985966704842,5.47687600523118,10.112770416335906
2028-05-01,37.53493168075448,5.470314693420453,10.113599610573669
2028-06-01,44.5619694917919,5.4994687307550585,10.114428804811434
2028-07-01,52.29725774059088,5.530607986545498,10.115257999049197
2028-08-01,60.14893487070765,5.561254293438896,10.116087193286962
2028-09-01,60.983326230568366,5.564456521107945,10.116916387524725
2028-10-01,50.960967239780445,5.525297418034146,10.11774558176249
2028-11-01,60.16270345518876,5.561307217815251,10.118574776000253
2028-12-01,61.44697960060353,5.56623150807402,10.119403970238016
2029-01-01,53.0592478400047,5.533623642497176,10.120233164475781
2029-02-01,48.09220476406074,5.513800470470412,10.121062358713544
2029-03-01,48.44386627275534,5.5152169297691565,10.12189155295131
2029-04-01,41.539578996819955,5.487033347850016,10.122720747189073
2029-05-01,39.955277520734455,5.480452562314247,10.123549941426838
2029-06-01,47.049558407765915,5.509588957829186,10.1243791356646
2029-07-01,54.85945373180962,5.540712231376867,10.125208329902366
2029-08-01,62.7870634303689,5.571344059486982,10.126037524140129
2029-09-01,63.62645827259104,5.574533170400865,10.126866718377894
2029-10-01,53.499584625872416,5.535362184473179,10.127695912615657
2029-11-01,62.79157282696548,5.57136121922783,10.128525106853422
2029-12-01,64.08625073875174,5.57627575713285,10.129354301091185
2030-01-01,55.611587660874505,5.543659056612215,10.13018349532895
2030-02-01,50.59244158904281,5.523827880750296,10.131012689566713
2030-03-01,50.94582749874303,5.525237089139615,10.131841883804476
2030-04-01,43.970407794765265,5.4970469384085945,10.132671078042241
2030-05-01,42.36871976466685,5.490460201993145,10.133500272280004
2030-06-01,49.5330088476656,5.519591206431345,10.13432946651777
2030-07-01,57.42015543615912,5.550709596044214,10.135158660755533
2030-08-01,65.42624345391704,5.581336999654292,10.135987854993298
2030-09-01,66.27300106892642,5.584522102283594,10.13681704923106
2030-10-01,56.043534108496544,5.545347485133146,10.137646243468826
2030-11-01,65.4278972243822,5.5813432302564046,10.138475437706589
2030-12-01,66.73476842458899,5.5862547879876985,10.139304631944354
2031-01-01,58.174416030150326,5.553635387640124,10.140133826182117
2031-02-01,53.104327635604335,5.53380176592566,10.140963020419882
2031-03-01,53.46069420035994,5.5352087585452985,10.141792214657645
2031-04-01,46.41487532724648,5.507016600483423,10.14262140889541
2031-05-01,44.79669398114041,5.500428045567976,10.143450603133173
2031-06-01,52.03233747031638,5.5295574025736,10.144279797370938
2031-07-01,59.99809387246307,5.5606742997288965,10.145108991608701
2031-08-01,68.08399652588372,5.591300351277809,10.145938185846465
2031-09-01,68.93890343689054,5.594484229035179,10.14676738008423
2031-10-01,58.60673297125959,5.555308502237256,10.147596574321993
2031-11-01,68.08477150970634,5.59130324209827,10.148425768559758
2031-12-01,69.40447885444422,5.596213889132958,10.14925496279752
2032-01-01,60.75823197554888,5.563593663758574,10.150084157035286
2032-02-01,55.63721094344635,5.5437592946280825,10.150913351273049
2032-03-01,55.99697042740411,5.545165610141584,10.151742545510814
2032-04-01,48.88049429607648,5.516972838669362,10.152571739748577
2032-05-01,47.24598408552714,5.510383728047464,10.153400933986342
2032-06-01,54.553894969079835,5.539512581622283,10.154230128224105
2032-07-01,62.599228176701786,5.570629022704825,10.15505932246187
2032-08-01,70.76591385385802,5.6012546610840275,10.155888516699633
2032-09-01,71.62927159807685,5.604438164538819,10.156717710937398
2032-10-01,61.193653242804544,5.565262098649194,10.157546905175161
2032-11-01,70.76642024969038,5.60125653131707,10.158376099412925
2032-12-01,72.09925288715021,5.606166900056472,10.15920529365069
2033-01-01,63.36645373628602,5.57354642256621,10.160034487888453
2033-02-01,58.19415096456606,5.553711825036538,10.160863682126218
2033-03-01,58.55745534354651,5.555117933636508,10.16169287636398
2033-04-01,51.369753009473925,5.526924974715243,10.162522070601746
