Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Feb 3, 2019;Feb 4, 2019;52,537.25;16,018.25;49,981.00;96,366.00;8,269.25;671.25;97,957.25;446.00;58,401.25;33,818.50;853.50;7,929.00
Feb 4, 2019;Feb 5, 2019;52,231.75;18,224.00;84,207.75;197,464.75;18,046.50;688.75;86,397.75;448.00;57,818.75;43,594.25;1,629.00;7,937.00
Feb 5, 2019;Feb 6, 2019;52,862.50;20,431.25;55,288.00;124,108.00;11,117.00;757.75;90,251.25;453.00;75,161.50;61,023.75;3,533.50;5,346.50
Feb 6, 2019;Feb 7, 2019;53,290.50;18,232.00;74,880.50;124,685.75;14,862.75;734.75;98,421.50;452.00;81,689.50;51,268.25;2,548.00;4,776.00
Feb 7, 2019;Feb 8, 2019;52,734.75;17,709.00;68,828.00;221,510.75;9,140.00;745.75;95,366.75;463.00;45,114.25;45,190.25;1,848.75;5,804.00
Feb 8, 2019;Feb 9, 2019;52,467.00;16,427.00;87,196.25;269,000.00;18,534.50;734.75;90,207.50;468.00;39,213.25;36,911.75;2,181.25;5,730.00
Feb 9, 2019;Feb 10, 2019;50,065.00;15,173.50;67,370.00;321,750.25;19,485.75;716.25;81,518.25;474.00;29,148.50;26,376.25;2,092.00;5,952.00
Feb 10, 2019;Feb 11, 2019;51,970.75;15,001.50;63,935.25;240,992.50;11,982.25;709.25;86,859.25;471.00;23,995.00;24,287.50;4,346.25;6,062.00
Feb 11, 2019;Feb 12, 2019;51,306.00;19,426.25;66,204.00;270,723.50;14,248.00;638.25;87,816.25;456.00;40,371.75;40,485.75;2,521.00;5,862.00
Feb 12, 2019;Feb 13, 2019;52,076.00;18,902.75;65,122.00;157,839.75;13,860.25;602.25;95,371.75;453.00;72,250.00;42,070.00;2,542.75;6,210.50
Feb 13, 2019;Feb 14, 2019;52,689.75;18,526.75;87,809.50;161,041.25;30,933.00;610.75;93,941.50;460.00;49,385.75;39,233.00;2,760.25;6,344.00
Feb 14, 2019;Feb 15, 2019;52,539.00;19,772.25;48,638.75;56,471.25;38,488.75;668.25;98,427.00;448.00;82,776.50;35,814.25;3,284.25;7,163.25
Feb 15, 2019;Feb 16, 2019;52,669.25;20,357.25;45,693.50;67,293.00;47,509.00;735.25;97,375.25;433.00;74,821.00;31,999.75;3,588.00;7,213.00
Feb 16, 2019;Feb 17, 2019;52,476.50;17,979.50;86,120.00;133,037.00;47,321.75;737.25;92,615.75;464.00;38,298.00;22,412.75;2,413.25;7,149.00
Feb 17, 2019;Feb 18, 2019;52,210.25;15,262.00;58,356.00;68,222.00;46,463.25;693.25;97,921.50;440.00;35,423.00;24,826.50;976.75;7,094.00
Feb 18, 2019;Feb 19, 2019;52,146.75;17,424.50;62,436.00;78,161.25;49,368.00;741.75;97,855.75;454.00;60,528.50;31,510.00;4,698.50;7,565.00
Feb 19, 2019;Feb 20, 2019;52,334.00;17,654.00;98,280.25;193,901.50;27,267.50;687.50;89,952.50;469.00;45,029.25;32,964.25;2,214.25;8,379.00
Feb 20, 2019;Feb 21, 2019;52,645.00;19,611.50;86,157.50;117,038.75;25,224.00;722.25;97,197.50;454.00;62,301.25;34,051.25;4,328.00;8,286.00
Feb 21, 2019;Feb 22, 2019;52,594.75;19,731.75;70,461.00;131,849.75;22,237.50;723.25;97,194.75;455.00;58,651.75;35,928.50;2,995.75;8,286.00
Feb 22, 2019;Feb 23, 2019;53,022.75;22,652.00;23,327.75;69,802.25;14,549.25;732.75;97,696.25;341.00;78,156.00;34,544.25;3,298.75;8,251.00
Feb 23, 2019;Feb 24, 2019;53,067.75;22,873.50;29,597.50;71,726.00;49,348.75;765.50;97,508.25;456.00;46,327.25;27,686.00;1,663.00;8,402.00
Feb 24, 2019;Feb 25, 2019;52,774.25;19,689.25;6,466.00;21,399.00;45,013.75;762.00;97,630.50;413.00;47,851.25;27,424.50;1,963.50;8,342.00
Feb 25, 2019;Feb 26, 2019;52,559.75;21,277.00;2,333.25;12,970.25;51,534.50;737.50;97,783.50;379.00;66,301.50;33,448.75;4,471.50;8,830.00
Feb 26, 2019;Feb 27, 2019;52,065.75;23,234.25;4,531.25;14,918.25;52,104.50;713.50;97,754.75;314.00;78,628.75;34,209.00;3,974.00;9,420.75
Feb 27, 2019;Feb 28, 2019;52,323.50;23,908.50;26,369.75;56,245.50;56,984.00;717.75;97,529.50;392.00;77,781.50;33,709.00;4,036.25;9,385.00
Feb 28, 2019;Mar 1, 2019;52,190.25;22,514.75;20,043.75;125,801.00;47,242.00;694.50;96,015.75;416.00;60,701.00;23,176.00;2,436.25;9,049.00
Mar 1, 2019;Mar 2, 2019;52,090.50;24,639.00;36,002.25;73,785.25;14,833.25;735.25;97,598.75;416.00;86,067.50;29,483.00;4,494.25;9,157.00
Mar 2, 2019;Mar 3, 2019;52,114.75;25,349.50;52,934.75;85,973.00;11,541.50;744.75;97,425.75;441.00;35,284.50;21,410.00;902.25;8,706.00
Mar 3, 2019;Mar 4, 2019;50,471.25;21,221.75;90,596.75;274,847.25;20,437.00;715.00;77,777.75;338.00;17,330.50;20,759.00;3,502.50;8,064.00
