Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jul 1, 2022;Jul 2, 2022;17,748.00;4,116.75;33,887.50;41,671.25;1,869.25;31,988.25;169,289.75;97,455.00;120,056.00;8,767.25;5,292.00
Jul 2, 2022;Jul 3, 2022;17,803.50;3,707.75;11,131.25;74,187.75;1,932.00;28,417.50;115,084.25;52,069.50;54,305.25;11,377.00;5,237.50
Jul 3, 2022;Jul 4, 2022;17,453.25;3,327.50;27,123.25;70,253.00;1,852.50;27,942.50;127,952.75;48,862.75;50,363.25;673.50;5,468.50
Jul 4, 2022;Jul 5, 2022;17,699.00;3,125.00;15,791.50;63,649.50;1,844.75;31,967.25;153,956.00;93,888.25;74,257.50;11,931.50;5,214.75
Jul 5, 2022;Jul 6, 2022;17,754.75;3,242.25;21,465.75;60,022.75;1,905.25;32,023.75;146,801.25;109,723.25;89,806.00;8,653.50;5,108.50
Jul 6, 2022;Jul 7, 2022;17,908.25;3,128.50;25,674.00;55,933.75;1,953.50;32,081.25;147,164.75;111,231.75;60,145.75;8,609.00;5,053.25
Jul 7, 2022;Jul 8, 2022;17,855.25;3,119.25;88,454.00;30,225.00;1,962.25;31,919.75;140,180.25;71,579.75;53,469.25;2,500.00;5,496.25
Jul 8, 2022;Jul 9, 2022;18,253.25;3,185.75;24,025.50;59,773.00;1,927.50;31,960.00;134,746.75;76,627.00;48,000.00;10,492.00;5,469.75
Jul 9, 2022;Jul 10, 2022;18,066.50;3,232.25;35,683.00;51,090.75;1,954.50;31,886.75;109,768.25;47,262.25;46,175.75;5,395.50;5,376.00
Jul 10, 2022;Jul 11, 2022;18,310.75;3,258.75;32,412.50;41,680.25;2,004.25;26,704.50;93,503.50;43,218.25;39,179.25;1,705.50;5,495.50
Jul 11, 2022;Jul 12, 2022;18,641.25;3,109.50;7,680.75;37,695.75;1,995.75;31,940.00;140,457.00;82,151.75;128,876.50;7,816.25;5,196.75
Jul 12, 2022;Jul 13, 2022;17,712.75;2,997.00;3,149.75;66,718.75;1,927.75;31,815.25;139,554.25;80,082.75;141,567.75;11,686.00;5,551.50
Jul 13, 2022;Jul 14, 2022;17,370.50;3,036.25;40,954.00;54,676.00;1,876.50;31,524.00;141,182.00;103,148.00;122,735.25;7,505.75;5,508.75
Jul 14, 2022;Jul 15, 2022;17,942.50;2,982.25;27,529.00;60,155.50;1,994.75;32,010.25;151,060.75;81,387.75;100,216.00;6,371.00;5,736.50
Jul 15, 2022;Jul 16, 2022;18,642.75;2,901.75;15,153.25;56,862.25;2,011.75;32,092.00;150,536.75;87,943.25;85,323.00;12,021.25;5,466.75
Jul 16, 2022;Jul 17, 2022;18,370.50;2,906.25;29,018.50;66,463.75;1,950.50;28,034.50;119,774.75;27,571.00;38,176.75;9,734.00;5,264.50
Jul 17, 2022;Jul 18, 2022;18,036.00;2,903.50;9,365.75;73,470.50;1,945.75;32,060.25;132,782.00;16,780.25;60,197.75;5,050.25;5,308.50
Jul 18, 2022;Jul 19, 2022;17,959.00;2,867.25;7,976.50;67,595.50;1,810.25;31,698.75;155,919.00;46,168.25;134,993.75;11,259.25;5,332.25
Jul 19, 2022;Jul 20, 2022;16,909.00;2,859.00;27,535.75;67,845.75;1,545.75;31,335.75;138,582.25;68,870.50;176,351.75;9,337.00;5,031.75
Jul 20, 2022;Jul 21, 2022;17,005.25;2,811.75;48,890.50;58,667.25;1,488.25;31,299.00;137,904.00;76,812.25;100,354.00;9,764.75;5,488.00
Jul 21, 2022;Jul 22, 2022;18,253.00;2,900.00;44,521.25;34,423.50;1,786.75;31,677.50;128,316.50;69,952.75;199,746.00;8,433.00;5,535.50
Jul 22, 2022;Jul 23, 2022;18,580.00;2,921.00;9,043.25;50,456.25;1,904.00;32,014.25;138,583.25;61,679.75;194,474.25;10,657.75;5,317.50
Jul 23, 2022;Jul 24, 2022;18,365.25;2,880.50;7,155.50;58,956.00;1,924.75;31,975.00;131,342.75;47,624.25;125,742.50;8,725.75;5,428.00
Jul 24, 2022;Jul 25, 2022;17,193.00;2,871.00;16,380.00;69,332.50;1,811.25;30,192.75;122,521.25;30,519.25;90,545.25;10,862.50;5,220.00
Jul 25, 2022;Jul 26, 2022;16,953.00;2,793.25;76,487.00;50,708.50;1,734.25;31,494.75;135,761.25;60,824.00;68,632.25;3,911.25;5,329.75
Jul 26, 2022;Jul 27, 2022;17,453.50;2,936.00;34,722.25;39,900.75;1,845.00;31,882.50;151,294.50;57,609.25;134,552.00;13,305.75;5,315.00
Jul 27, 2022;Jul 28, 2022;17,915.00;2,952.25;20,151.00;50,834.50;1,837.50;32,117.50;143,757.75;50,418.50;163,269.50;5,126.25;5,229.25
Jul 28, 2022;Jul 29, 2022;18,189.50;3,191.25;38,066.75;59,978.00;1,726.00;32,094.00;151,963.00;48,535.25;138,830.25;5,570.25;5,105.25
Jul 29, 2022;Jul 30, 2022;18,192.00;2,974.50;23,897.25;42,669.75;1,769.50;31,947.75;154,299.50;54,898.00;129,417.75;7,885.00;4,934.75
Jul 30, 2022;Jul 31, 2022;17,819.50;3,101.00;16,517.25;62,647.50;1,779.75;31,878.50;133,153.00;40,981.75;62,781.25;11,785.75;5,129.75
Jul 31, 2022;Aug 1, 2022;17,472.00;3,130.00;39,475.75;44,010.50;1,792.00;31,754.00;130,112.50;34,829.75;51,983.00;1,512.00;4,944.75
Aug 1, 2022;Aug 2, 2022;18,041.25;3,063.75;19,656.75;42,859.00;1,865.00;31,849.75;136,698.25;61,189.50;44,806.25;8,086.50;4,684.25
Aug 2, 2022;Aug 3, 2022;17,844.75;3,092.25;13,525.25;61,425.50;1,858.50;31,810.75;153,610.50;71,983.75;27,270.75;9,327.50;4,625.50
Aug 3, 2022;Aug 4, 2022;17,476.75;3,015.00;8,937.00;65,004.00;1,669.75;31,462.00;153,869.00;64,400.50;31,810.00;9,318.75;4,631.00
Aug 4, 2022;Aug 5, 2022;17,788.00;3,049.25;23,800.75;52,551.00;1,618.50;31,375.00;153,464.25;75,600.50;37,843.25;7,608.50;4,555.50
Aug 5, 2022;Aug 6, 2022;18,641.00;2,979.00;44,752.75;37,296.75;1,715.25;31,892.75;154,514.00;86,877.75;22,780.50;7,033.00;4,450.00
Aug 6, 2022;Aug 7, 2022;18,603.50;3,039.25;24,586.75;56,403.00;1,795.75;32,119.75;150,259.00;63,569.25;14,797.25;8,499.75;4,530.50
Aug 7, 2022;Aug 8, 2022;18,142.50;2,902.00;29,902.75;66,924.25;1,759.75;32,035.50;125,113.50;50,334.75;15,082.75;1,207.50;4,664.00
Aug 8, 2022;Aug 9, 2022;18,241.00;2,894.50;33,191.50;65,892.75;1,742.75;31,945.50;138,340.50;83,151.00;21,220.00;8,859.00;4,221.00
Aug 9, 2022;Aug 10, 2022;18,051.25;2,889.75;44,138.75;66,944.25;1,658.00;31,825.25;142,181.00;82,404.75;27,551.00;8,072.25;4,298.75
Aug 10, 2022;Aug 11, 2022;17,780.75;2,892.25;46,747.25;66,608.25;1,677.25;31,707.25;141,405.00;87,513.50;25,935.75;10,508.75;4,905.75
Aug 11, 2022;Aug 12, 2022;18,036.75;2,818.75;40,090.50;65,618.75;1,776.00;31,596.00;122,324.75;80,870.75;30,551.75;11,233.75;4,932.25
Aug 12, 2022;Aug 13, 2022;18,120.25;2,831.00;44,716.00;65,222.00;1,767.50;31,552.25;116,368.50;72,110.75;29,134.00;8,480.00;4,746.25
Aug 13, 2022;Aug 14, 2022;17,621.00;2,812.50;32,628.25;64,137.00;1,794.75;31,508.25;101,307.50;59,532.75;17,617.00;7,011.50;4,461.25
Aug 14, 2022;Aug 15, 2022;17,232.50;2,777.50;28,696.00;60,731.50;1,739.75;31,390.00;105,504.50;50,852.75;15,224.25;3,364.50;4,453.50
Aug 15, 2022;Aug 16, 2022;17,695.75;2,806.25;32,013.50;34,898.75;1,758.50;31,491.50;128,244.50;59,808.25;30,455.50;4,266.50;4,426.00
Aug 16, 2022;Aug 17, 2022;17,656.50;2,817.00;12,492.25;55,472.00;1,793.75;31,495.50;142,082.75;79,263.25;54,420.50;9,066.50;4,950.50
Aug 17, 2022;Aug 18, 2022;17,792.50;2,801.75;14,663.00;35,023.25;1,704.50;31,576.75;125,518.75;81,460.00;57,883.25;5,830.00;4,745.50
Aug 18, 2022;Aug 19, 2022;18,528.25;2,791.75;8,661.00;28,904.25;1,686.25;31,710.50;142,533.50;79,952.00;54,318.25;1,939.00;4,825.25
Aug 19, 2022;Aug 20, 2022;18,532.00;3,270.25;22,538.75;41,026.00;1,688.25;31,700.50;149,856.50;74,674.75;52,997.50;5,074.50;4,607.00
Aug 20, 2022;Aug 21, 2022;18,497.00;4,145.50;16,693.00;42,975.00;1,707.25;31,767.00;153,411.25;65,109.50;22,672.00;8,842.75;4,665.00
Aug 21, 2022;Aug 22, 2022;18,326.50;3,765.50;10,206.25;60,399.75;1,838.25;31,847.25;129,107.25;62,807.75;26,948.25;1,272.25;4,680.75
Aug 22, 2022;Aug 23, 2022;18,598.75;3,461.00;10,768.25;50,417.50;1,812.00;31,773.00;152,696.00;104,796.25;50,855.00;2,675.25;4,658.00
Aug 23, 2022;Aug 24, 2022;18,384.75;3,093.25;11,309.25;56,264.25;1,789.25;31,635.75;155,850.00;109,047.00;52,715.00;4,441.00;4,546.00
Aug 24, 2022;Aug 25, 2022;18,202.00;3,033.50;13,711.50;56,672.00;1,791.50;31,495.75;145,654.25;119,699.00;53,833.00;6,342.00;4,790.50
Aug 25, 2022;Aug 26, 2022;18,033.75;3,198.25;23,315.00;57,830.00;1,790.50;31,358.75;136,974.00;120,481.50;48,069.75;3,602.00;4,785.25
Aug 26, 2022;Aug 27, 2022;18,450.00;3,084.75;30,229.75;32,794.00;1,827.00;31,571.50;144,707.00;129,084.00;56,779.00;3,498.00;4,681.75
Aug 27, 2022;Aug 28, 2022;18,463.25;3,341.75;16,420.25;22,684.25;1,961.50;31,870.00;155,941.75;82,051.00;35,096.50;1,927.75;4,739.00
Aug 28, 2022;Aug 29, 2022;18,039.00;3,662.50;28,218.00;48,228.75;1,868.25;32,040.00;147,562.75;66,443.75;18,456.25;1,005.75;4,789.25
Aug 29, 2022;Aug 30, 2022;18,377.25;3,365.25;20,897.75;51,953.00;1,875.00;31,985.25;157,003.25;103,253.75;34,837.00;9,022.50;4,671.75
Aug 30, 2022;Aug 31, 2022;18,450.75;3,156.75;33,647.25;52,311.25;1,907.50;31,886.75;154,941.25;112,132.25;38,356.00;3,309.25;4,755.50
Aug 31, 2022;Sep 1, 2022;18,737.25;3,125.75;39,621.25;35,246.50;1,958.75;31,979.00;155,401.50;112,641.00;146,642.75;9,093.75;4,658.50
Sep 1, 2022;Sep 2, 2022;19,009.50;3,109.75;48,406.00;48,627.50;1,976.75;31,961.50;154,862.75;110,099.00;48,542.75;6,939.25;4,667.75
Sep 2, 2022;Sep 3, 2022;19,672.75;2,950.75;59,317.25;54,810.25;2,000.00;31,900.50;148,871.50;101,978.75;30,205.00;8,297.25;4,455.25
Sep 3, 2022;Sep 4, 2022;19,312.75;2,949.50;43,377.50;40,514.25;1,981.00;31,864.50;127,766.25;59,166.75;16,012.75;11,862.50;4,319.00
Sep 4, 2022;Sep 5, 2022;19,030.00;2,938.75;10,689.75;50,124.00;1,890.50;31,817.75;137,641.50;58,680.25;18,832.25;6,850.00;3,971.25
Sep 5, 2022;Sep 6, 2022;18,918.00;2,966.00;11,954.00;51,206.25;1,804.25;31,608.25;154,263.50;105,831.50;29,340.50;11,491.00;4,304.25
Sep 6, 2022;Sep 7, 2022;18,812.50;2,976.50;26,304.00;48,883.50;1,811.25;31,580.50;168,667.25;100,387.50;30,941.25;11,534.25;4,943.25
Sep 7, 2022;Sep 8, 2022;18,982.25;2,961.00;19,933.50;39,834.75;1,804.25;31,716.25;169,015.50;103,502.50;40,996.75;7,824.00;4,206.25
