Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;5,497,581.50;5,791,976.75;294,395.25;5,301,406.25
Feb 1, 2015;Mar 1, 2015;5,249,740.00;5,498,711.00;248,971.00;5,014,307.00
Mar 1, 2015;Apr 1, 2015;5,457,640.50;5,763,353.50;305,713.00;4,889,734.00
Apr 1, 2015;May 1, 2015;4,952,349.00;5,246,115.00;293,766.00;4,196,818.25
May 1, 2015;Jun 1, 2015;4,764,142.75;5,065,833.00;301,690.25;4,060,126.00
Jun 1, 2015;Jul 1, 2015;4,903,243.75;5,140,760.75;237,517.00;4,153,434.25
Jul 1, 2015;Aug 1, 2015;5,332,342.75;5,573,241.50;240,898.75;4,462,965.25
Aug 1, 2015;Sep 1, 2015;4,865,520.50;5,121,569.25;256,048.75;4,111,577.25
Sep 1, 2015;Oct 1, 2015;4,983,563.25;5,276,691.25;293,128.00;4,409,500.25
Oct 1, 2015;Nov 1, 2015;5,386,233.25;5,670,518.50;284,285.25;5,049,069.25
Nov 1, 2015;Dec 1, 2015;5,380,091.50;5,713,432.75;333,341.25;5,029,679.50
Dec 1, 2015;Jan 1, 2016;5,132,313.25;5,491,619.25;359,306.00;4,839,205.50
Jan 1, 2016;Feb 1, 2016;5,506,474.25;5,837,667.50;331,193.25;5,247,355.50
Feb 1, 2016;Mar 1, 2016;5,423,494.00;5,750,375.75;326,881.75;5,061,761.75
Mar 1, 2016;Apr 1, 2016;5,631,734.25;5,909,924.50;278,190.25;5,122,229.00
Apr 1, 2016;May 1, 2016;5,246,077.75;5,500,554.25;254,476.50;4,630,595.00
May 1, 2016;Jun 1, 2016;4,908,854.75;5,194,944.75;286,090.00;4,140,829.75
Jun 1, 2016;Jul 1, 2016;5,029,403.25;5,284,793.00;255,389.75;4,306,574.75
Jul 1, 2016;Aug 1, 2016;5,119,856.00;5,341,554.00;221,698.00;4,294,836.75
Aug 1, 2016;Sep 1, 2016;4,810,287.50;5,072,840.00;262,552.50;4,028,994.25
Sep 1, 2016;Oct 1, 2016;4,858,004.00;5,131,421.00;273,417.00;4,258,191.50
Oct 1, 2016;Nov 1, 2016;5,268,336.75;5,590,822.25;322,485.50;4,866,844.50
Nov 1, 2016;Dec 1, 2016;5,564,752.75;5,921,116.50;356,363.75;5,218,242.50
Dec 1, 2016;Jan 1, 2017;5,561,778.00;5,911,891.75;350,113.75;5,279,318.00
Jan 1, 2017;Feb 1, 2017;6,046,438.50;6,413,697.75;367,259.25;5,755,936.75
Feb 1, 2017;Mar 1, 2017;5,231,329.25;5,611,367.75;380,038.50;4,799,710.75
Mar 1, 2017;Apr 1, 2017;5,440,149.00;5,856,512.50;416,363.50;4,695,198.00
Apr 1, 2017;May 1, 2017;4,839,866.75;5,231,661.00;391,794.25;4,159,917.25
May 1, 2017;Jun 1, 2017;5,096,651.25;5,427,436.50;330,785.25;4,299,212.00
Jun 1, 2017;Jul 1, 2017;4,830,912.25;5,140,425.00;309,512.75;3,924,413.00
Jul 1, 2017;Aug 1, 2017;5,099,986.75;5,347,588.50;247,601.75;4,287,530.50
Aug 1, 2017;Sep 1, 2017;4,914,462.50;5,195,803.25;281,340.75;4,189,188.50
Sep 1, 2017;Oct 1, 2017;4,890,622.75;5,200,815.50;310,192.75;4,321,469.25
Oct 1, 2017;Nov 1, 2017;5,214,407.75;5,572,223.25;357,815.50;4,655,843.25
Nov 1, 2017;Dec 1, 2017;5,614,169.00;5,939,796.25;325,627.25;5,244,175.75
Dec 1, 2017;Jan 1, 2018;5,480,906.50;5,869,644.50;388,738.00;5,048,299.00
Jan 1, 2018;Feb 1, 2018;5,766,802.25;6,147,616.00;380,813.75;5,245,506.50
Feb 1, 2018;Mar 1, 2018;5,571,388.75;5,840,406.25;269,017.50;5,131,242.50
Mar 1, 2018;Apr 1, 2018;5,794,028.25;6,115,633.25;321,605.00;5,178,391.25
Apr 1, 2018;May 1, 2018;4,999,952.75;5,432,196.25;432,243.50;4,098,937.75
May 1, 2018;Jun 1, 2018;4,905,567.50;5,257,122.50;351,555.00;4,054,440.50
Jun 1, 2018;Jul 1, 2018;4,997,177.75;5,280,314.25;283,136.50;4,174,881.00
Jul 1, 2018;Aug 1, 2018;5,178,801.00;5,409,602.00;230,801.00;4,334,942.00
Aug 1, 2018;Sep 1, 2018;4,996,520.75;5,305,277.50;308,756.75;4,193,295.00
Sep 1, 2018;Oct 1, 2018;4,839,232.50;5,238,705.00;399,472.50;4,131,615.25
Oct 1, 2018;Nov 1, 2018;5,309,616.50;5,753,275.00;443,658.50;4,720,532.75
Nov 1, 2018;Dec 1, 2018;5,548,908.00;5,931,173.50;382,265.50;5,169,993.00
Dec 1, 2018;Jan 1, 2019;5,415,406.25;5,859,918.00;444,511.75;4,934,048.75
