fold,held_out_turbine,n_train,n_test,rmse_logcf,mae_logcf,best_iteration,rmse_energy_hourly_kwh,mae_energy_hourly_kwh,r2_energy_hourly,rmse_energy_monthly_kwh,mae_energy_monthly_kwh,r2_energy_monthly
1,Dundalk_T01,133795,64489,0.673723506554561,0.5047345891970186,193,132.85289571781905,96.0259530775487,0.5865248634584261,17850.762867329475,13798.220373528437,0.8457952904371419
2,Kelmarsh_T01,142265,56019,0.6763787971060762,0.4889507665625633,304,307.96507540480195,220.74730446334067,0.6342598664610483,47300.2849720744,34093.2601772758,0.8695102495271405
3,Loegtved_T01,164251,34033,0.8140791187024639,0.6009837227780297,360,376.9262149753825,278.5645948189978,0.216530914772328,66336.07736093742,58409.129098046236,-0.6090443893837221
4,Penmanshiel_T01,154541,43743,0.8415396657352613,0.592461942767821,166,368.10432968118835,273.80913745371083,0.6146669898981609,42400.085351515176,31741.690335325577,0.8914246992013489
